X,Y,ID,COMPAÑIA_,FIL_POLIZA,POLIZA_ID,pol_item,pol_item_e,POLIZA_NRO,POLIZA_ITE,CONTRATANT,CONTRATA_1,PLAN_CODIG,COM_OFICIN,MONEDA_ORI,POL_MONTO_,FCH_EMISIO,FCH_INI_VI,FCH_FIN_VI,VENTA_AÑO,NOMBRE_ASE,calle_nro,depto_bloc,villa,cod_comuna,nombre_com,cod_provin,nombre_pro,cod_region,nombre_reg,MATERIALES,DESTINO,AÑO CONST,UBICACIÓN,Longitud,Latitud,Hazard1,Hazard2,Hazard3,Hazard4,Hazard5,Hazard6,Hazard7
-73.30074,-39.845364,1052447,Renta Nacional Generales,1,1368364-1-0,1368364-1,1368364-1-0,1368364,1,53303319,CONDOMINIO RIVERAS DEL ESTANCILLA,R100,PROVIDENCIA,"U,F,",29840,11/6/2023,10/31/2023,10/31/2024,2023,CONDOMINIO RIVERAS DEL ESTANCILLA,RUTA T 350 VALDIVIA A NIEBLA,"4151",,222,VALDIVIA,33,VALDIVIA,14,REGION DE LOS RIOS,"{ACERO,ALBANILERIA,""HORMIGON ARMADO"",MADERA,""PERFILES METALICOS""}","{""BODEGA Y ALMACENAJE"",COMERCIO,ESTACIONAMIENTO,HABITACION,""HOTEL MOTEL"",INDUSTRIA,""OTROS NO CONSIDERADOS""}",2022,{URBANA},-73.300740000000005,-39.845363999999996,0.493922322988510,0.493922322988510,0.493922322988510,0.493922322988510,0.493922322988510,0.493922322988510,0.493922322988510
-73.30074,-39.845364,1249979,Renta Nacional Generales,1,1467096-1-0,1467096-1,1467096-1-0,1467096,1,53303319,CONDOMINIO RIVERAS DEL ESTANCILLA,R100,VALDIVIA,"U,F,",29849,10/24/2024,10/31/2024,10/31/2025,2024,CONDOMINIO RIVERAS DEL ESTANCILLA,RUTA T 350 VALDIVIA A NIEBLA,"4151",,222,VALDIVIA,33,VALDIVIA,14,REGION DE LOS RIOS,"{ACERO,ALBANILERIA,""HORMIGON ARMADO"",MADERA,""PERFILES METALICOS""}","{""BODEGA Y ALMACENAJE"",COMERCIO,ESTACIONAMIENTO,HABITACION,""HOTEL MOTEL"",INDUSTRIA,""OTROS NO CONSIDERADOS""}",2022,{URBANA},-73.300740000000005,-39.845363999999996,0.493922322988510,0.493922322988510,0.493922322988510,0.493922322988510,0.493922322988510,0.493922322988510,0.493922322988510
-72.61835,-38.73912,1199165,Renta Nacional Generales,1,1435676-1-0,1435676-1,1435676-1-0,1435676,1,65208958,COMUNIDAD EDIFICIO K-BUSINESS CENTER,R100,TEMUCO,"U,F,",114000,7/2/2024,6/28/2024,6/28/2025,2024,COMUNIDAD EDIFICIO K-BUSINESS CENTER,HOCHSTETTER 1002,,,203,TEMUCO,32,CAUTIN,9,REGION DE LA ARAUCANIA,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",COMERCIO,ESTACIONAMIENTO,OFICINA}",2022,{URBANA},-72.618350000000007,-38.739120000000000,0.532802045345306,0.532802045345306,0.532802045345306,0.532802045345306,0.532802045345306,0.532802045345306,0.532802045345306
-73.130194,-36.858513,1167423,Renta Nacional Generales,1,1419250-1-0,1419250-1,1419250-1-0,1419250,1,65208302,CONDOMINIO LOS AVELLANOS,R100,CONCEPCION,"U,F,",19000,5/6/2024,5/11/2024,5/11/2025,2024,CONDOMINIO LOS AVELLANOS,DOS PONIENTE 180 SECTOR LOS,BALTROS,,342,SAN PEDRO DE LA PAZ,29,CONCEPCION,8,REGION DEL BIO-BIO,{ALBANILERIA},{HABITACION},2022,{URBANA},-73.130194000000003,-36.858513000000002,0.447644323110580,0.447644323110580,0.447644323110580,0.447644323110580,0.447644323110580,0.447644323110580,0.447644323110580
-73.130194,-36.858513,1168138,Renta Nacional Generales,1,1419747-1-0,1419747-1,1419747-1-0,1419747,1,65208302,CONDOMINIO LOS AVELLANOS,R100,CONCEPCION,"U,F,",19000,5/7/2024,5/11/2024,5/11/2025,2024,CONDOMINIO LOS AVELLANOS,DOS PONIENTE 180 SECTOR LOS,BALTROS,,342,SAN PEDRO DE LA PAZ,29,CONCEPCION,8,REGION DEL BIO-BIO,{ALBANILERIA},{HABITACION},2022,{URBANA},-73.130194000000003,-36.858513000000002,0.447644323110580,0.447644323110580,0.447644323110580,0.447644323110580,0.447644323110580,0.447644323110580,0.447644323110580
-73.051707,-36.848509,1138702,Renta Nacional Generales,1,1407962-1-0,1407962-1,1407962-1-0,1407962,1,65207896,CONDOMINIO EDIFICIO TERRAZAS,R100,PROVIDENCIA,"U,F,",151000,3/29/2024,4/29/2024,4/29/2025,2024,CONDOMINIO EDIFICIO TERRAZAS,PEDRO DE VALDIVIA 1248,,,176,CONCEPCION,29,CONCEPCION,8,REGION DEL BIO-BIO,"{ACERO,""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",COMERCIO,ESTACIONAMIENTO,HABITACION}",2022,{URBANA},-73.051706999999993,-36.848509000000000,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226
-73.050204,-36.832734,1109431,Renta Nacional Generales,1,1395720-1-0,1395720-1,1395720-1-0,1395720,1,65209231,CONDOMINIO EDIFICIO LIN 40,R100,CONCEPCION,"U,F,",42000,2/19/2024,2/17/2024,2/17/2025,2024,CONDOMINIO EDIFICIO LIN 40,"LINCOYAN NRO, 40",,,176,CONCEPCION,29,CONCEPCION,8,REGION DEL BIO-BIO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2022,{URBANA},-73.050203999999994,-36.832734000000002,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226
-73.050204,-36.832734,1189586,Renta Nacional Generales,1,1432421-1-0,1432421-1,1432421-1-0,1432421,1,65209231,CONDOMINIO EDIFICIO LIN 40,R100,CONCEPCION,"U,F,",35000,6/19/2024,6/13/2024,6/13/2025,2024,CONDOMINIO EDIFICIO LIN 40,LINCOYAN 40,,,176,CONCEPCION,29,CONCEPCION,8,REGION DEL BIO-BIO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2022,{URBANA},-73.050203999999994,-36.832734000000002,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226,0.467584043741226
-70.715945,-33.737189,1178138,Renta Nacional Generales,1,1426476-1-0,1426476-1,1426476-1-0,1426476,1,53330351,COMUNIDAD LOS ALMENDROS DE BUIN,R100,RANCAGUA,"U,F,",7000,5/29/2024,5/24/2024,5/24/2025,2024,COMUNIDAD LOS ALMENDROS DE BUIN,CAMINO EL ARPA # 1530,,,324,BUIN,49,MAIPO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}",{HABITACION},2022,{URBANA},-70.715945000000005,-33.737189000000001,0.491062730550766,0.491062730550766,0.491062730550766,0.491062730550766,0.491062730550766,0.491062730550766,0.491062730550766
-70.5706329345703,-33.542854309082,1203090,Renta Nacional Generales,1,1438376-1-0,1438376-1,1438376-1-0,1438376,1,65192577,CONDOMINIO PLAZA LA FLORIDA TORRE A Y B,R100,APOQUINDO,"U,F,",347331,7/10/2024,7/27/2024,7/27/2025,2024,CONDOMINIO PLAZA LA FLORIDA TORRE A Y B,"AV, LA FLORIDA N,9423 TORRE A",,,298,LA FLORIDA,46,SANTIAGO,13,REGION METROPOLITANA DE SANTIAGO,"{""HORMIGON ARMADO""}","{""BODEGA Y ALMACENAJE"",ESTACIONAMIENTO,HABITACION}",2022,{URBANA},-70.570632934570312,-33.542854309082031,0.490537941455841,0.490537941455841,0.490537941455841,0.490537941455841,0.490537941455841,0.490537941455841,0.490537941455841
