lon,lat,vs30
-71.664491824,-33.872479032,380
-71.664491824,-33.972479032,380
-71.564491824,-33.772479032,380
-71.564491824,-33.872479032,380
-71.564491824,-33.972479032,380
-71.564491824,-34.072479032,380
-71.464491824,-33.672479032,380
-71.464491824,-33.772479032,380
-71.464491824,-33.872479032,380
-71.464491824,-33.972479032,380
-71.464491824,-34.072479032,380
-71.364491824,-33.372479032,380
-71.364491824,-33.472479032,380
-71.364491824,-33.572479032,380
-71.364491824,-33.672479032,380
-71.364491824,-33.772479032,380
-71.364491824,-33.872479032,380
-71.364491824,-33.972479032,380
-71.364491824,-34.072479032,380
-71.264491824,-33.272479032,380
-71.264491824,-33.372479032,380
-71.264491824,-33.472479032,380
-71.264491824,-33.572479032,380
-71.264491824,-33.672479032,380
-71.264491824,-33.772479032,380
-71.264491824,-33.872479032,380
-71.264491824,-33.972479032,380
-71.264491824,-34.072479032,380
-71.264491824,-34.172479032,380
-71.164491824,-33.272479032,380
-71.164491824,-33.372479032,380
-71.164491824,-33.472479032,380
-71.164491824,-33.572479032,380
-71.164491824,-33.672479032,380
-71.164491824,-33.772479032,380
-71.164491824,-33.872479032,380
-71.164491824,-33.972479032,380
-71.164491824,-34.072479032,380
-71.164491824,-34.172479032,380
-71.064491824,-32.972479032,380
-71.064491824,-33.072479032,380
-71.064491824,-33.172479032,380
-71.064491824,-33.272479032,380
-71.064491824,-33.372479032,380
-71.064491824,-33.472479032,380
-71.064491824,-33.572479032,380
-71.064491824,-33.672479032,380
-71.064491824,-33.772479032,380
-71.064491824,-33.872479032,380
-71.064491824,-33.972479032,380
-71.064491824,-34.072479032,380
-71.064491824,-34.172479032,380
-70.964491824,-32.972479032,380
-70.964491824,-33.072479032,380
-70.964491824,-33.172479032,380
-70.964491824,-33.272479032,380
-70.964491824,-33.372479032,380
-70.964491824,-33.472479032,380
-70.964491824,-33.572479032,380
-70.964491824,-33.672479032,380
-70.964491824,-33.772479032,380
-70.964491824,-33.872479032,380
-70.964491824,-33.972479032,380
-70.964491824,-34.072479032,380
-70.964491824,-34.172479032,380
-70.864491824,-32.972479032,380
-70.864491824,-33.072479032,380
-70.864491824,-33.172479032,380
-70.864491824,-33.272479032,380
-70.864491824,-33.372479032,380
-70.864491824,-33.472479032,380
-70.864491824,-33.572479032,380
-70.864491824,-33.672479032,380
-70.864491824,-33.772479032,380
-70.864491824,-33.872479032,380
-70.864491824,-33.972479032,380
-70.864491824,-34.072479032,380
-70.864491824,-34.172479032,380
-70.764491824,-32.972479032,380
-70.764491824,-33.072479032,380
-70.764491824,-33.172479032,380
-70.764491824,-33.272479032,380
-70.764491824,-33.372479032,380
-70.764491824,-33.472479032,380
-70.764491824,-33.572479032,380
-70.764491824,-33.672479032,380
-70.764491824,-33.772479032,380
-70.764491824,-33.872479032,380
-70.764491824,-33.972479032,380
-70.764491824,-34.072479032,380
-70.664491824,-32.972479032,380
-70.664491824,-33.072479032,380
-70.664491824,-33.172479032,380
-70.664491824,-33.272479032,380
-70.664491824,-33.372479032,380
-70.664491824,-33.472479032,380
-70.664491824,-33.572479032,380
-70.664491824,-33.672479032,380
-70.664491824,-33.772479032,380
-70.664491824,-33.872479032,380
-70.664491824,-33.972479032,380
-70.564491824,-32.972479032,380
-70.564491824,-33.072479032,380
-70.564491824,-33.172479032,380
-70.564491824,-33.272479032,380
-70.564491824,-33.372479032,380
-70.564491824,-33.472479032,380
-70.564491824,-33.572479032,380
-70.564491824,-33.672479032,380
-70.564491824,-33.772479032,380
-70.564491824,-33.872479032,380
-70.464491824,-32.972479032,380
-70.464491824,-33.072479032,380
-70.464491824,-33.172479032,380
-70.464491824,-33.272479032,380
-70.464491824,-33.372479032,380
-70.464491824,-33.472479032,380
-70.464491824,-33.572479032,380
-70.464491824,-33.672479032,380
-70.464491824,-33.772479032,380
