X,Y
-71.710491824,-33.942479032
-71.710491824,-33.950479032
-71.710491824,-33.958479032
-71.710491824,-33.966479032
-71.702491824,-33.934479032
-71.702491824,-33.942479032
-71.702491824,-33.950479032
-71.702491824,-33.958479032
-71.702491824,-33.966479032
-71.702491824,-33.974479032
-71.694491824,-33.926479032
-71.694491824,-33.934479032
-71.694491824,-33.942479032
-71.694491824,-33.950479032
-71.694491824,-33.958479032
-71.694491824,-33.966479032
-71.694491824,-33.974479032
-71.686491824,-33.926479032
-71.686491824,-33.934479032
-71.686491824,-33.942479032
-71.686491824,-33.950479032
-71.686491824,-33.958479032
-71.686491824,-33.966479032
-71.686491824,-33.974479032
-71.678491824,-33.918479032
-71.678491824,-33.926479032
-71.678491824,-33.934479032
-71.678491824,-33.942479032
-71.678491824,-33.950479032
-71.678491824,-33.958479032
-71.678491824,-33.966479032
-71.678491824,-33.974479032
-71.670491824,-33.918479032
-71.670491824,-33.926479032
-71.670491824,-33.934479032
-71.670491824,-33.942479032
-71.670491824,-33.950479032
-71.670491824,-33.958479032
-71.670491824,-33.966479032
-71.670491824,-33.974479032
-71.670491824,-33.982479032
-71.670491824,-33.990479032
-71.670491824,-33.998479032
-71.662491824,-33.910479032
-71.662491824,-33.918479032
-71.662491824,-33.926479032
-71.662491824,-33.934479032
-71.662491824,-33.942479032
-71.662491824,-33.950479032
-71.662491824,-33.958479032
-71.662491824,-33.966479032
-71.662491824,-33.974479032
-71.662491824,-33.982479032
-71.662491824,-33.990479032
-71.662491824,-33.998479032
-71.654491824,-33.910479032
-71.654491824,-33.918479032
-71.654491824,-33.926479032
-71.654491824,-33.934479032
-71.654491824,-33.942479032
-71.654491824,-33.950479032
-71.654491824,-33.958479032
-71.654491824,-33.966479032
-71.654491824,-33.974479032
-71.654491824,-33.982479032
-71.654491824,-33.990479032
-71.654491824,-33.998479032
-71.646491824,-33.902479032
-71.646491824,-33.910479032
-71.646491824,-33.918479032
-71.646491824,-33.926479032
-71.646491824,-33.934479032
-71.646491824,-33.942479032
-71.646491824,-33.950479032
-71.646491824,-33.958479032
-71.646491824,-33.966479032
-71.646491824,-33.974479032
-71.646491824,-33.982479032
-71.646491824,-33.990479032
-71.646491824,-33.998479032
-71.638491824,-33.902479032
-71.638491824,-33.910479032
-71.638491824,-33.918479032
-71.638491824,-33.926479032
-71.638491824,-33.934479032
-71.638491824,-33.942479032
-71.638491824,-33.950479032
-71.638491824,-33.958479032
-71.638491824,-33.966479032
-71.638491824,-33.974479032
-71.638491824,-33.982479032
-71.638491824,-33.990479032
-71.638491824,-33.998479032
-71.630491824,-33.894479032
-71.630491824,-33.902479032
-71.630491824,-33.910479032
-71.630491824,-33.918479032
-71.630491824,-33.926479032
-71.630491824,-33.934479032
-71.630491824,-33.942479032
-71.630491824,-33.950479032
-71.630491824,-33.958479032
-71.630491824,-33.966479032
-71.630491824,-33.974479032
-71.630491824,-33.982479032
-71.630491824,-33.990479032
-71.630491824,-33.998479032
-71.622491824,-33.886479032
-71.622491824,-33.894479032
-71.622491824,-33.902479032
-71.622491824,-33.910479032
-71.622491824,-33.918479032
-71.622491824,-33.926479032
-71.622491824,-33.934479032
-71.622491824,-33.942479032
-71.622491824,-33.950479032
-71.622491824,-33.958479032
-71.622491824,-33.966479032
-71.622491824,-33.974479032
-71.622491824,-33.982479032
-71.622491824,-33.990479032
-71.622491824,-33.998479032
-71.622491824,-34.006479032
-71.614491824,-33.886479032
-71.614491824,-33.894479032
-71.614491824,-33.902479032
-71.614491824,-33.910479032
-71.614491824,-33.918479032
-71.614491824,-33.926479032
-71.614491824,-33.934479032
-71.614491824,-33.942479032
-71.614491824,-33.950479032
-71.614491824,-33.958479032
-71.614491824,-33.966479032
-71.614491824,-33.974479032
-71.614491824,-33.982479032
-71.614491824,-33.990479032
-71.614491824,-33.998479032
-71.614491824,-34.006479032
-71.606491824,-33.878479032
-71.606491824,-33.886479032
-71.606491824,-33.894479032
-71.606491824,-33.902479032
-71.606491824,-33.910479032
-71.606491824,-33.918479032
-71.606491824,-33.926479032
-71.606491824,-33.934479032
-71.606491824,-33.942479032
-71.606491824,-33.950479032
-71.606491824,-33.958479032
-71.606491824,-33.966479032
-71.606491824,-33.974479032
-71.606491824,-33.982479032
-71.606491824,-33.990479032
-71.606491824,-33.998479032
-71.606491824,-34.006479032
-71.606491824,-34.014479032
-71.606491824,-34.022479032
-71.598491824,-33.878479032
-71.598491824,-33.886479032
-71.598491824,-33.894479032
-71.598491824,-33.902479032
