ogc_fid,id_sys,id_flt,id_seg,name,dips,dip,dip_dir,slip_rates,slip_rate,rup_type,downt_side,len_st,upp_sd,low_sd,az_tr,id_area,usd,lsd,min_mag,max_mag,a_val,b_val,length_km
1,,CL-038,CL-038,Atajaña,>60,72.000000000000000,S,0.1-1,0.500000000000000,reverse,None,30.737323078040713,0.000000000000000,20.000000000000000,70.628444007776181,"49",0.000000000000000,18.000000000000000,4.500000000000000,8.199999999999999,4.613112456710000,0.936981404387000,31
2,,CL-053,CL-053,Pisagua,>60,72.000000000000000,S,0.1-1,0.500000000000000,reverse,None,23.016401713992217,0.000000000000000,20.000000000000000,69.840431090617642,"49",0.000000000000000,18.000000000000000,4.500000000000000,8.199999999999999,4.613112456710000,0.936981404387000,23
5,,CL-055,CL-055,Zofri,>60,72.000000000000000,S,0.1-1,0.500000000000000,reverse,None,18.980061969005039,0.000000000000000,20.000000000000000,88.914296291444884,"49",0.000000000000000,18.000000000000000,4.500000000000000,8.199999999999999,4.613112456710000,0.936981404387000,19
8,,CL-054,CL-054,Salar Grande,>60,72.000000000000000,W,0.1-1,0.500000000000000,dextral,None,44.527276868972834,0.000000000000000,20.000000000000000,154.529110693818893,"49",0.000000000000000,18.000000000000000,4.500000000000000,8.199999999999999,4.613112456710000,0.936981404387000,44
9,,CL-044,CL-044a,Chuculay 1,>60,72.000000000000000,S,0.1-1,0.500000000000000,reverse,None,10.821622862189837,0.000000000000000,20.000000000000000,86.925796167153123,"49",0.000000000000000,18.000000000000000,4.500000000000000,8.199999999999999,4.613112456710000,0.936981404387000,11
10,,CL-044,CL-044b,Chuculay 2,>60,72.000000000000000,S,0.1-1,0.500000000000000,reverse,None,14.177154656994515,0.000000000000000,20.000000000000000,83.834098110269281,"49",0.000000000000000,18.000000000000000,4.500000000000000,8.199999999999999,4.613112456710000,0.936981404387000,14
12,,CL-044,CL-044c,Chuculay 3,>60,72.000000000000000,S,0.1-1,0.500000000000000,reverse,None,29.027427936405779,0.000000000000000,20.000000000000000,81.346933978365087,"49",0.000000000000000,18.000000000000000,4.500000000000000,8.199999999999999,4.613112456710000,0.936981404387000,29
13,,CL-044,CL-044f,Chuculay 6,>60,72.000000000000000,S,0.1-1,0.500000000000000,reverse,None,10.077508797481844,0.000000000000000,20.000000000000000,84.331520287219348,"49",0.000000000000000,18.000000000000000,4.500000000000000,8.199999999999999,4.613112456710000,0.936981404387000,10
14,,CL-043,CL-043,Chomache,>60,72.000000000000000,N,0.1-1,0.500000000000000,dextral,None,24.531954283083543,0.000000000000000,20.000000000000000,328.012614906468286,"49",0.000000000000000,18.000000000000000,4.500000000000000,8.199999999999999,4.613112456710000,0.936981404387000,24
15,,CL-046,CL-046,de Atacama segmento Salar del Carmen?,>60,72.000000000000000,E,0.1-1,0.500000000000000,normal,None,257.378343868392449,0.000000000000000,20.000000000000000,11.175346327894886,"49",0.000000000000000,18.000000000000000,4.500000000000000,8.199999999999999,4.613112456710000,0.936981404387000,256
