lon,lat,vs30
-75.661415178,-46.556588208,380
-75.661415178,-46.656588208,380
-75.661415178,-46.756588208,380
-75.661415178,-46.856588208,380
-75.661415178,-48.456588208,380
-75.661415178,-48.556588208,380
-75.661415178,-48.656588208,380
-75.661415178,-48.756588208,380
-75.661415178,-48.856588208,380
-75.661415178,-48.956588208,380
-75.661415178,-49.156588208,380
-75.661415178,-49.256588208,380
-75.661415178,-49.656588208,380
-75.661415178,-49.756588208,380
-75.661415178,-49.856588208,380
-75.561415178,-46.556588208,380
-75.561415178,-46.656588208,380
-75.561415178,-46.756588208,380
-75.561415178,-46.856588208,380
-75.561415178,-46.956588208,380
-75.561415178,-48.056588208,380
-75.561415178,-48.156588208,380
-75.561415178,-48.256588208,380
-75.561415178,-48.356588208,380
-75.561415178,-48.456588208,380
-75.561415178,-48.556588208,380
-75.561415178,-48.656588208,380
-75.561415178,-48.756588208,380
-75.561415178,-48.856588208,380
-75.561415178,-48.956588208,380
-75.561415178,-49.056588208,380
-75.561415178,-49.156588208,380
-75.561415178,-49.256588208,380
-75.561415178,-49.356588208,380
-75.561415178,-49.456588208,380
-75.561415178,-49.556588208,380
-75.561415178,-49.656588208,380
-75.561415178,-49.756588208,380
-75.561415178,-49.856588208,380
-75.561415178,-50.656588208,380
-75.461415178,-46.456588208,380
-75.461415178,-46.556588208,380
-75.461415178,-46.656588208,380
-75.461415178,-46.756588208,380
-75.461415178,-46.856588208,380
-75.461415178,-46.956588208,380
-75.461415178,-48.056588208,380
-75.461415178,-48.156588208,380
-75.461415178,-48.256588208,380
-75.461415178,-48.356588208,380
-75.461415178,-48.456588208,380
-75.461415178,-48.556588208,380
-75.461415178,-48.656588208,380
-75.461415178,-48.756588208,380
-75.461415178,-48.856588208,380
-75.461415178,-48.956588208,380
-75.461415178,-49.056588208,380
-75.461415178,-49.156588208,380
-75.461415178,-49.256588208,380
-75.461415178,-49.356588208,380
-75.461415178,-49.456588208,380
-75.461415178,-49.556588208,380
-75.461415178,-49.656588208,380
-75.461415178,-49.756588208,380
-75.461415178,-50.256588208,380
-75.461415178,-50.356588208,380
-75.461415178,-50.456588208,380
-75.461415178,-50.556588208,380
-75.461415178,-50.656588208,380
-75.461415178,-50.756588208,380
-75.361415178,-46.356588208,380
-75.361415178,-46.456588208,380
-75.361415178,-46.556588208,380
-75.361415178,-46.656588208,380
-75.361415178,-46.756588208,380
-75.361415178,-46.856588208,380
-75.361415178,-46.956588208,380
-75.361415178,-47.656588208,380
-75.361415178,-47.756588208,380
-75.361415178,-47.956588208,380
-75.361415178,-48.056588208,380
-75.361415178,-48.156588208,380
-75.361415178,-48.256588208,380
-75.361415178,-48.356588208,380
-75.361415178,-48.456588208,380
-75.361415178,-48.556588208,380
-75.361415178,-48.656588208,380
-75.361415178,-48.756588208,380
-75.361415178,-48.856588208,380
-75.361415178,-48.956588208,380
-75.361415178,-49.056588208,380
-75.361415178,-49.156588208,380
-75.361415178,-49.256588208,380
-75.361415178,-49.356588208,380
-75.361415178,-49.456588208,380
-75.361415178,-49.556588208,380
-75.361415178,-49.656588208,380
-75.361415178,-49.756588208,380
-75.361415178,-49.856588208,380
-75.361415178,-49.956588208,380
-75.361415178,-50.056588208,380
-75.361415178,-50.156588208,380
-75.361415178,-50.256588208,380
-75.361415178,-50.356588208,380
-75.361415178,-50.456588208,380
-75.361415178,-50.556588208,380
-75.361415178,-50.656588208,380
-75.361415178,-50.756588208,380
-75.361415178,-51.556588208,380
-75.361415178,-51.656588208,380
-75.261415178,-46.356588208,380
-75.261415178,-46.456588208,380
-75.261415178,-46.556588208,380
-75.261415178,-46.656588208,380
-75.261415178,-46.756588208,380
-75.261415178,-47.656588208,380
-75.261415178,-47.756588208,380
-75.261415178,-47.856588208,380
-75.261415178,-47.956588208,380
-75.261415178,-48.056588208,380
-75.261415178,-48.156588208,380
-75.261415178,-48.256588208,380
-75.261415178,-48.356588208,380
-75.261415178,-48.456588208,380
-75.261415178,-48.556588208,380
-75.261415178,-48.656588208,380
-75.261415178,-48.756588208,380
-75.261415178,-48.856588208,380
-75.261415178,-48.956588208,380
-75.261415178,-49.056588208,380
-75.261415178,-49.156588208,380
-75.261415178,-49.256588208,380
-75.261415178,-49.356588208,380
-75.261415178,-49.456588208,380
-75.261415178,-49.556588208,380
-75.261415178,-49.656588208,380
-75.261415178,-49.756588208,380
-75.261415178,-49.856588208,380
-75.261415178,-49.956588208,380
-75.261415178,-50.056588208,380
-75.261415178,-50.156588208,380
-75.261415178,-50.256588208,380
-75.261415178,-50.356588208,380
-75.261415178,-50.456588208,380
-75.261415178,-50.556588208,380
-75.261415178,-50.656588208,380
-75.261415178,-50.756588208,380
-75.261415178,-51.256588208,380
-75.261415178,-51.356588208,380
