lon,lat,vs30
-71.545716555,-32.963919075,380
-71.495716555,-32.963919075,380
-71.445716555,-32.963919075,380
-71.395716555,-32.963919075,380
-71.545716555,-33.013919075,380
-71.495716555,-33.013919075,380
-71.445716555,-33.013919075,380
-71.395716555,-33.013919075,380
-71.295716555,-33.013919075,380
-71.645716555,-33.063919075,380
-71.595716555,-33.063919075,380
-71.545716555,-33.063919075,380
-71.495716555,-33.063919075,380
-71.445716555,-33.063919075,380
-71.395716555,-33.063919075,380
-71.345716555,-33.063919075,380
-71.295716555,-33.063919075,380
-71.695716555,-33.113919075,380
-71.645716555,-33.113919075,380
-71.595716555,-33.113919075,380
-71.545716555,-33.113919075,380
-71.495716555,-33.113919075,380
-71.445716555,-33.113919075,380
-71.395716555,-33.113919075,380
-71.345716555,-33.113919075,380
-71.295716555,-33.113919075,380
-71.095716555,-33.113919075,380
-71.045716555,-33.113919075,380
-71.595716555,-33.163919075,380
-71.545716555,-33.163919075,380
-71.495716555,-33.163919075,380
-71.445716555,-33.163919075,380
-71.395716555,-33.163919075,380
-71.345716555,-33.163919075,380
-71.295716555,-33.163919075,380
-71.245716555,-33.163919075,380
-71.195716555,-33.163919075,380
-71.145716555,-33.163919075,380
-71.095716555,-33.163919075,380
-71.045716555,-33.163919075,380
-71.295716555,-33.213919075,380
-71.245716555,-33.213919075,380
-71.195716555,-33.213919075,380
-71.145716555,-33.213919075,380
-71.095716555,-33.213919075,380
