lon,lat,vs30
-71.664491824,-33.872479032,413.9499693232309
-71.664491824,-33.972479032,418.1208885332359
-71.564491824,-33.772479032,359.2621869308248
-71.564491824,-33.872479032,419.65686256474663
-71.564491824,-33.972479032,279.4497185458567
-71.564491824,-34.072479032,447.4620084990145
-71.464491824,-33.672479032,507.88074167706895
-71.464491824,-33.772479032,468.50967513965037
-71.464491824,-33.872479032,538.910684732693
-71.464491824,-33.972479032,354.2284685131496
-71.464491824,-34.072479032,534.0349452525205
-71.364491824,-33.372479032,496.85434167851025
-71.364491824,-33.472479032,782.9137420072271
-71.364491824,-33.572479032,674.6738767260301
-71.364491824,-33.672479032,441.5485543012511
-71.364491824,-33.772479032,286.7314213554105
-71.364491824,-33.872479032,894.1028140939511
-71.364491824,-33.972479032,624.1710047198071
-71.364491824,-34.072479032,626.839333534064
-71.264491824,-33.272479032,411.03139405314073
-71.264491824,-33.372479032,552.9037837278996
-71.264491824,-33.472479032,437.7614168923738
-71.264491824,-33.572479032,371.15169687904955
-71.264491824,-33.672479032,457.4767401847315
-71.264491824,-33.772479032,367.3401984178855
-71.264491824,-33.872479032,344.3034491273429
-71.264491824,-33.972479032,692.071476188489
-71.264491824,-34.072479032,330.57571347034104
-71.264491824,-34.172479032,668.6563294865553
-71.164491824,-33.272479032,798.5426360057039
-71.164491824,-33.372479032,515.859860146893
-71.164491824,-33.472479032,497.551380526586
-71.164491824,-33.572479032,318.7261859085985
-71.164491824,-33.672479032,437.5776361383743
-71.164491824,-33.772479032,356.929915418204
-71.164491824,-33.872479032,717.6989996597875
-71.164491824,-33.972479032,899.9999999999999
-71.164491824,-34.072479032,885.5862791945555
-71.164491824,-34.172479032,900.0
-71.064491824,-32.972479032,887.9966953608097
-71.064491824,-33.072479032,856.5864958543885
-71.064491824,-33.172479032,705.691686306801
-71.064491824,-33.272479032,812.585850609366
-71.064491824,-33.372479032,688.9133600513481
-71.064491824,-33.472479032,224.19717705049885
-71.064491824,-33.572479032,559.0921123408838
-71.064491824,-33.672479032,537.1391567913281
-71.064491824,-33.772479032,822.6512187929942
-71.064491824,-33.872479032,900.0
-71.064491824,-33.972479032,502.59533674337564
-71.064491824,-34.072479032,899.9999999999998
-71.064491824,-34.172479032,884.4528926878273
-70.964491824,-32.972479032,900.0
-70.964491824,-33.072479032,686.0183368742396
-70.964491824,-33.172479032,842.905098494343
-70.964491824,-33.272479032,900.0
-70.964491824,-33.372479032,675.4370009974303
-70.964491824,-33.472479032,845.7793897560175
-70.964491824,-33.572479032,698.077809729942
-70.964491824,-33.672479032,270.93173660931916
-70.964491824,-33.772479032,898.5063446866657
-70.964491824,-33.872479032,864.9470236530992
