lon,lat,vs30
-75.611415178,-46.606588208,380
-75.611415178,-46.806588208,380
-75.611415178,-47.006588208,380
-75.611415178,-48.006588208,380
-75.611415178,-48.206588208,380
-75.611415178,-48.406588208,380
-75.611415178,-48.606588208,380
-75.611415178,-48.806588208,380
-75.611415178,-49.006588208,380
-75.611415178,-49.206588208,380
-75.611415178,-49.406588208,380
-75.611415178,-49.606588208,380
-75.611415178,-49.806588208,380
-75.611415178,-50.606588208,380
-75.411415178,-46.406588208,380
-75.411415178,-46.606588208,380
-75.411415178,-46.806588208,380
-75.411415178,-47.006588208,380
-75.411415178,-47.606588208,380
-75.411415178,-47.806588208,380
-75.411415178,-48.006588208,380
-75.411415178,-48.206588208,380
-75.411415178,-48.406588208,380
-75.411415178,-48.606588208,380
-75.411415178,-48.806588208,380
-75.411415178,-49.006588208,380
-75.411415178,-49.206588208,380
-75.411415178,-49.406588208,380
-75.411415178,-49.606588208,380
-75.411415178,-49.806588208,380
-75.411415178,-50.006588208,380
-75.411415178,-50.206588208,380
-75.411415178,-50.406588208,380
-75.411415178,-50.606588208,380
-75.411415178,-50.806588208,380
-75.411415178,-51.606588208,380
-75.211415178,-44.806588208,380
-75.211415178,-45.006588208,380
-75.211415178,-45.806588208,380
-75.211415178,-46.206588208,380
-75.211415178,-46.406588208,380
-75.211415178,-46.606588208,380
-75.211415178,-46.806588208,380
-75.211415178,-47.606588208,380
-75.211415178,-47.806588208,380
-75.211415178,-48.006588208,380
-75.211415178,-48.206588208,380
-75.211415178,-48.406588208,380
-75.211415178,-48.606588208,380
-75.211415178,-48.806588208,380
-75.211415178,-49.006588208,380
-75.211415178,-49.206588208,380
-75.211415178,-49.406588208,380
-75.211415178,-49.606588208,380
-75.211415178,-49.806588208,380
-75.211415178,-50.006588208,380
-75.211415178,-50.206588208,380
-75.211415178,-50.406588208,380
-75.211415178,-50.606588208,380
-75.211415178,-50.806588208,380
-75.211415178,-51.206588208,380
-75.211415178,-51.406588208,380
-75.211415178,-51.606588208,380
-75.211415178,-51.806588208,380
-75.011415178,-44.806588208,380
-75.011415178,-45.006588208,380
-75.011415178,-45.806588208,380
-75.011415178,-46.006588208,380
-75.011415178,-46.206588208,380
-75.011415178,-46.406588208,380
-75.011415178,-46.606588208,380
-75.011415178,-46.806588208,380
-75.011415178,-47.606588208,380
-75.011415178,-47.806588208,380
-75.011415178,-48.006588208,380
-75.011415178,-48.206588208,380
-75.011415178,-48.406588208,380
-75.011415178,-48.606588208,380
-75.011415178,-48.806588208,380
-75.011415178,-49.006588208,380
-75.011415178,-49.206588208,380
-75.011415178,-49.406588208,380
-75.011415178,-49.606588208,380
-75.011415178,-49.806588208,380
-75.011415178,-50.006588208,380
-75.011415178,-50.206588208,380
-75.011415178,-50.406588208,380
-75.011415178,-50.606588208,380
-75.011415178,-50.806588208,380
-75.011415178,-51.006588208,380
-75.011415178,-51.206588208,380
-75.011415178,-51.406588208,380
-75.011415178,-51.606588208,380
-75.011415178,-51.806588208,380
-75.011415178,-52.006588208,380
-75.011415178,-52.206588208,380
-74.811415178,-43.606588208,380
-74.811415178,-44.606588208,380
-74.811415178,-45.606588208,380
-74.811415178,-45.806588208,380
-74.811415178,-46.006588208,380
-74.811415178,-46.206588208,380
-74.811415178,-46.406588208,380
-74.811415178,-46.606588208,380
-74.811415178,-46.806588208,380
-74.811415178,-47.606588208,380
-74.811415178,-47.806588208,380
-74.811415178,-48.006588208,380
-74.811415178,-48.206588208,380
-74.811415178,-48.406588208,380
-74.811415178,-48.606588208,380
-74.811415178,-48.806588208,380
-74.811415178,-49.006588208,380
-74.811415178,-49.206588208,380
-74.811415178,-49.406588208,380
-74.811415178,-49.606588208,380
-74.811415178,-49.806588208,380
-74.811415178,-50.006588208,380
-74.811415178,-50.206588208,380
-74.811415178,-50.406588208,380
-74.811415178,-50.606588208,380
-74.811415178,-50.806588208,380
-74.811415178,-51.006588208,380
-74.811415178,-51.206588208,380
-74.811415178,-51.406588208,380
-74.811415178,-51.606588208,380
-74.811415178,-51.806588208,380
-74.811415178,-52.006588208,380
-74.811415178,-52.206588208,380
-74.811415178,-52.406588208,380
-74.811415178,-52.806588208,380
-74.611415178,-43.606588208,380
-74.611415178,-44.406588208,380
-74.611415178,-44.606588208,380
-74.611415178,-44.806588208,380
-74.611415178,-45.206588208,380
-74.611415178,-45.406588208,380
-74.611415178,-45.606588208,380
-74.611415178,-45.806588208,380
-74.611415178,-46.006588208,380
-74.611415178,-46.206588208,380
-74.611415178,-46.406588208,380
-74.611415178,-46.606588208,380
-74.611415178,-46.806588208,380
-74.611415178,-47.406588208,380
-74.611415178,-47.606588208,380
-74.611415178,-47.806588208,380
-74.611415178,-48.006588208,380
