seg,est,n,b,b_err,a,M6.5,M7.0,M7.5,M8.0
seg0_full,weichert,253,0.78564,0.03473,4.97074,0.73129,0.29599,0.1198,0.04849
seg0_full,kijko_smit,253,0.86076,,5.40897,0.65164,0.24189,0.08979,0.03333
seg0_full,observed,253,,,,0.69114,0.27333,0.14324,0.0782
seg1_south,weichert,37,0.70873,0.0864,3.68181,0.11887,0.05256,0.02324,0.01028
seg1_south,kijko_smit,37,0.6368,,3.41434,0.18844,0.09053,0.04349,0.02089
seg1_south,observed,37,,,,0.1176,0.04654,0.01401,0.00588
seg2,weichert,67,0.73729,0.07952,4.11182,0.20867,0.08929,0.03821,0.01635
seg2,kijko_smit,67,0.85716,,4.83261,0.18242,0.068,0.02535,0.00945
seg2,observed,67,,,,0.15284,0.04625,0.04625,0.02999
seg3,weichert,81,0.7722,0.08073,4.40856,0.24504,0.10072,0.0414,0.01702
seg3,kijko_smit,81,0.87958,,5.02973,0.20532,0.07458,0.02709,0.00984
seg3,observed,81,,,,0.21562,0.07906,0.03841,0.02214
seg4_north,weichert,68,0.79109,0.08541,4.4372,0.19729,0.07935,0.03192,0.01284
seg4_north,kijko_smit,68,0.96186,,5.41909,0.14689,0.04854,0.01604,0.0053
seg4_north,observed,68,,,,0.20508,0.10149,0.04458,0.02018
