geom,seg,form,b,mmax,rate,chi,lam,m0_rate,weight,N7.0,N8.0
segmented,seg1_south,tgr,0.7087317180795362,9.5,seismic,-,0.6078379553003581,1.5898508514880874e+20,0.125,0.051750987083631676,0.009404017364894931
segmented,seg1_south,tgr,0.7087317180795362,9.5,geodetic,lo,0.7689317855708656,2.0112051960000004e+20,0.03125,0.06546642662945971,0.01189634145231178
segmented,seg1_south,tgr,0.7087317180795362,9.5,geodetic,mid,0.8787791835095605,2.298520224e+20,0.0625,0.07481877329081109,0.013595818802642032
segmented,seg1_south,tgr,0.7087317180795362,9.5,geodetic,hi,0.9886265814482555,2.585835252e+20,0.03125,0.08417111995216248,0.015295296152972286
segmented,seg1_south,tapered,0.7087317180795362,9.5,seismic,-,0.6078379553003581,1.8295842662503717e+20,0.125,0.05225602679916647,0.009899861193704547
segmented,seg1_south,tapered,0.7087317180795362,9.5,geodetic,lo,0.6681773977710865,2.0112051960000004e+20,0.03125,0.057443428301988175,0.010882610131569994
segmented,seg1_south,tapered,0.7087317180795362,9.5,geodetic,mid,0.7636313117383845,2.298520224e+20,0.0625,0.06564963234512934,0.012437268721794277
segmented,seg1_south,tapered,0.7087317180795362,9.5,geodetic,hi,0.8590852257056825,2.585835252e+20,0.03125,0.0738558363882705,0.01399192731201856
segmented,seg2,tgr,0.7372869699227599,9.1,seismic,-,1.13958396083577,1.2245361294126653e+20,0.125,0.08695900709114307,0.01385467081381614
segmented,seg2,tgr,0.7372869699227599,9.1,geodetic,lo,1.1614407918545433,1.2480223140000003e+20,0.03125,0.08862685113675203,0.014120398666440727
segmented,seg2,tgr,0.7372869699227599,9.1,geodetic,mid,1.3273609049766206,1.4263112160000002e+20,0.0625,0.10128782987057373,0.016137598475932255
segmented,seg2,tgr,0.7372869699227599,9.1,geodetic,hi,1.4932810180986984,1.6046001180000004e+20,0.03125,0.11394880860439546,0.01815479828542379
segmented,seg2,tapered,0.7372869699227599,9.1,seismic,-,1.13958396083577,1.3862243263685917e+20,0.125,0.08837248432943186,0.015071363880833334
segmented,seg2,tapered,0.7372869699227599,9.1,geodetic,lo,1.0259711828353668,1.2480223140000003e+20,0.03125,0.07956203789589278,0.013568798402901708
segmented,seg2,tapered,0.7372869699227599,9.1,geodetic,mid,1.1725384946689905,1.4263112160000002e+20,0.0625,0.09092804330959174,0.015507198174744807
segmented,seg2,tapered,0.7372869699227599,9.1,geodetic,hi,1.3191058065026144,1.6046001180000004e+20,0.03125,0.1022940487232907,0.01744559794658791
segmented,seg3,tgr,0.7722032312022988,8.5,seismic,-,1.450241807524719,4.675159861182398e+19,0.125,0.09418323463964133,0.010071825390333982
segmented,seg3,tgr,0.7722032312022988,8.5,geodetic,lo,4.150931046748302,1.3381400340000003e+20,0.03125,0.26957443284312693,0.028827918553473754
segmented,seg3,tgr,0.7722032312022988,8.5,geodetic,mid,4.743921196283773,1.529302896e+20,0.0625,0.3080850661064307,0.03294619263254142
segmented,seg3,tgr,0.7722032312022988,8.5,geodetic,hi,5.336911345819243,1.720465758e+20,0.03125,0.34659569936973444,0.037064466711609095
segmented,seg3,tapered,0.7722032312022988,8.5,seismic,-,1.450241807524719,5.192291349025949e+19,0.125,0.09776278670367222,0.011693868456556202
segmented,seg3,tapered,0.7722032312022988,8.5,geodetic,lo,3.7375148873211863,1.3381400340000003e+20,0.03125,0.2519509979888321,0.03013704833220337
segmented,seg3,tapered,0.7722032312022988,8.5,geodetic,mid,4.271445585509927,1.529302896e+20,0.0625,0.28794399770152235,0.03444234095108956
segmented,seg3,tapered,0.7722032312022988,8.5,geodetic,hi,4.805376283698667,1.720465758e+20,0.03125,0.3239369974142126,0.03874763356997575
segmented,seg4_north,tgr,0.7910920165019157,8.8,seismic,-,1.2195357805190261,5.919740495501875e+19,0.125,0.07654995199506162,0.009871779956889213
segmented,seg4_north,tgr,0.7910920165019157,8.8,geodetic,lo,4.210440850408409,2.0437872840000006e+20,0.03125,0.26428830553838906,0.03408226823737776
segmented,seg4_north,tgr,0.7910920165019157,8.8,geodetic,mid,4.811932400466753,2.3357568960000003e+20,0.0625,0.3020437777581589,0.0389511636998603
segmented,seg4_north,tgr,0.7910920165019157,8.8,geodetic,hi,5.413423950525096,2.627726508e+20,0.03125,0.3397992499779287,0.04382005916234283
segmented,seg4_north,tapered,0.7910920165019157,8.8,seismic,-,1.2195357805190261,6.523912784959183e+19,0.125,0.07816519152717932,0.010962342751108868
segmented,seg4_north,tapered,0.7910920165019157,8.8,geodetic,lo,3.8205166175031806,2.0437872840000006e+20,0.03125,0.24487302292419164,0.03434242218752479
segmented,seg4_north,tapered,0.7910920165019157,8.8,geodetic,mid,4.36630470571792,2.3357568960000003e+20,0.0625,0.27985488334193326,0.039248482500028326
segmented,seg4_north,tapered,0.7910920165019157,8.8,geodetic,hi,4.9120927939326595,2.627726508e+20,0.03125,0.3148367437596749,0.04415454281253186
non_segmented,seg0_full,tgr,0.7856388502892121,9.5,seismic,-,4.464046020151704,7.04999561496201e+20,0.125,0.29298152536109373,0.045305380209747295
non_segmented,seg0_full,tgr,0.7856388502892121,9.5,geodetic,lo,4.205168683541718,6.641154828000001e+20,0.03125,0.27599104707771044,0.04267804704385767
non_segmented,seg0_full,tgr,0.7856388502892121,9.5,geodetic,mid,4.805907066904821,7.589891232000001e+20,0.0625,0.31541833951738335,0.04877491090726591
non_segmented,seg0_full,tgr,0.7856388502892121,9.5,geodetic,hi,5.406645450267923,8.538627636e+20,0.03125,0.35484563195705626,0.05487177477067415
non_segmented,seg0_full,tapered,0.7856388502892121,9.5,seismic,-,4.464046020151704,7.795441414208748e+20,0.125,0.29482853305694295,0.047045593664930524
non_segmented,seg0_full,tapered,0.7856388502892121,9.5,geodetic,lo,3.8030458063744996,6.641154828000001e+20,0.03125,0.2511726830727539,0.040079458609553614
non_segmented,seg0_full,tapered,0.7856388502892121,9.5,geodetic,mid,4.346338064427999,7.589891232000001e+20,0.0625,0.2870544949402902,0.04580509555377556
non_segmented,seg0_full,tapered,0.7856388502892121,9.5,geodetic,hi,4.8896303224815,8.538627636e+20,0.03125,0.3229363068078265,0.05153073249799751
