id,file,weight,n_sources,N6.0,moment_ratio
phi050__mobs__tgr,faults__phi050__mobs__tgr.xml,0.0625,147,0.08334121472705754,1.0000000000000184
phi050__mobs__tap,faults__phi050__mobs__tap.xml,0.0625,147,0.061379961434956914,1.0000000000000198
phi050__mobs__al1,faults__phi050__mobs__al1.xml,0.0,147,0.41782210219926086,9.139834258814197
phi050__mobs__al2,faults__phi050__mobs__al2.xml,0.0,147,0.7188837448820776,8.985501243740517
phi050__mobs__al3,faults__phi050__mobs__al3.xml,0.0,147,1.1661113861564916,8.651326622730513
phi050__mobs__yc,faults__phi050__mobs__yc.xml,0.0,147,0.08030919398688588,0.971023486844467
phi050__mgeo__tgr,faults__phi050__mgeo__tgr.xml,0.0625,147,0.353124735059581,1.0000000000000104
phi050__mgeo__tap,faults__phi050__mgeo__tap.xml,0.0625,147,0.2625808117701981,1.0000000000000122
phi050__mgeo__al1,faults__phi050__mgeo__al1.xml,0.0,147,0.31765745722410305,1.3439027552213911
phi050__mgeo__al2,faults__phi050__mgeo__al2.xml,0.0,147,0.4568947228920864,1.2096933434135204
phi050__mgeo__al3,faults__phi050__mgeo__al3.xml,0.0,147,0.5330410949637467,1.0063291845993891
phi050__mgeo__yc,faults__phi050__mgeo__yc.xml,0.0,147,0.2748547791365261,0.8319989112230645
phi075__mobs__tgr,faults__phi075__mobs__tgr.xml,0.125,147,0.12501182209058642,1.000000000000019
phi075__mobs__tap,faults__phi075__mobs__tap.xml,0.125,147,0.09206994215243534,1.0000000000000202
phi075__mobs__al1,faults__phi075__mobs__al1.xml,0.0,147,0.6267331532988915,9.139834258814197
phi075__mobs__al2,faults__phi075__mobs__al2.xml,0.0,147,1.0783256173231177,8.985501243740504
phi075__mobs__al3,faults__phi075__mobs__al3.xml,0.0,147,1.7491670792347342,8.651326622730519
phi075__mobs__yc,faults__phi075__mobs__yc.xml,0.0,147,0.12046379098032879,0.9710234868444667
phi075__mgeo__tgr,faults__phi075__mgeo__tgr.xml,0.125,147,0.5296871025893716,1.0000000000000107
phi075__mgeo__tap,faults__phi075__mgeo__tap.xml,0.125,147,0.3938712176552971,1.0000000000000129
phi075__mgeo__al1,faults__phi075__mgeo__al1.xml,0.0,147,0.47648618583615493,1.3439027552213907
phi075__mgeo__al2,faults__phi075__mgeo__al2.xml,0.0,147,0.6853420843381295,1.2096933434135202
phi075__mgeo__al3,faults__phi075__mgeo__al3.xml,0.0,147,0.7995616424456199,1.0063291845993894
phi075__mgeo__yc,faults__phi075__mgeo__yc.xml,0.0,147,0.4122821687047893,0.8319989112230646
phi100__mobs__tgr,faults__phi100__mobs__tgr.xml,0.0625,147,0.16668242945411507,1.0000000000000184
phi100__mobs__tap,faults__phi100__mobs__tap.xml,0.0625,147,0.12275992286991383,1.0000000000000198
phi100__mobs__al1,faults__phi100__mobs__al1.xml,0.0,147,0.8356442043985217,9.139834258814197
phi100__mobs__al2,faults__phi100__mobs__al2.xml,0.0,147,1.4377674897641552,8.985501243740517
phi100__mobs__al3,faults__phi100__mobs__al3.xml,0.0,147,2.332222772312983,8.651326622730513
phi100__mobs__yc,faults__phi100__mobs__yc.xml,0.0,147,0.16061838797377176,0.971023486844467
phi100__mgeo__tgr,faults__phi100__mgeo__tgr.xml,0.0625,147,0.706249470119162,1.0000000000000104
phi100__mgeo__tap,faults__phi100__mgeo__tap.xml,0.0625,147,0.5251616235403962,1.0000000000000122
phi100__mgeo__al1,faults__phi100__mgeo__al1.xml,0.0,147,0.6353149144482061,1.3439027552213911
phi100__mgeo__al2,faults__phi100__mgeo__al2.xml,0.0,147,0.9137894457841728,1.2096933434135204
phi100__mgeo__al3,faults__phi100__mgeo__al3.xml,0.0,147,1.0660821899274935,1.0063291845993891
phi100__mgeo__yc,faults__phi100__mgeo__yc.xml,0.0,147,0.5497095582730522,0.8319989112230645
reference,faults__reference.xml,0.0,147,0.7063104427636229,1.0000000000000104
