city,scenario,gmm,median_g,sigma,eps_to_target,target_g
Iquique,"in-slab M7.3, Rrup 73 km 62 % of the hazard",AG20,0.4409431777884925,0.8165647842003947,1.2274920780530394,1.2014
Iquique,"in-slab M7.3, Rrup 73 km 62 % of the hazard",Parker,0.6311394961476526,0.7914543574963752,0.813332956804322,1.2014
Iquique,"in-slab M7.3, Rrup 73 km 62 % of the hazard",Montalva17,0.35860076996563917,0.83844918,1.4419873534897956,1.2014
Iquique,"interface M8.6, Rrup 52 km 37 % of the hazard",AG20,0.35824953110656965,0.818105016158767,1.4790436932341229,1.2014
Iquique,"interface M8.6, Rrup 52 km 37 % of the hazard",Parker,0.38757470810077965,0.7914543574963752,1.4294370691005278,1.2014
Iquique,"interface M8.6, Rrup 52 km 37 % of the hazard",Kuehn20,0.6258912643722866,0.7705814006644593,0.846200239101196,1.2014
Santiago,"in-slab M7.3, Rrup 91 km 58 % of the hazard",AG20,0.3333496057527568,0.8186178892516149,1.1897809426429202,0.882861
Santiago,"in-slab M7.3, Rrup 91 km 58 % of the hazard",Parker,0.4331470246889026,0.7914543574963752,0.8997240892925068,0.882861
Santiago,"in-slab M7.3, Rrup 91 km 58 % of the hazard",Montalva17,0.2522619801259606,0.83844918,1.4940674390625723,0.882861
Santiago,"interface M9.0, Rrup 72 km 41 % of the hazard",AG20,0.28372945316347487,0.8197146252689083,1.3848070790873797,0.882861
Santiago,"interface M9.0, Rrup 72 km 41 % of the hazard",Parker,0.3723378601754674,0.7914543574963752,1.09086025464143,0.882861
Santiago,"interface M9.0, Rrup 72 km 41 % of the hazard",Kuehn20,0.5236748982242347,0.7705814006644593,0.6777956246099897,0.882861
