site,imt,return_period,iml_total,Interface,intra_slab,slab_deep,deep_nest,Crustal,sum
antofagasta,PGA,475,1.3902974592871662,61.21563062589228,26.588406839464568,11.864357915865618,0.2371396111636987,0.07464334914384793,99.98017834153
antofagasta,PGA,2475,2.6632001521172204,63.96088976293333,25.265339838788233,10.602534197118194,0.1654520326416873,0.005019253506004284,99.99923508498743
concepcion,PGA,475,1.4181121141434003,54.227428585747894,33.2972266566037,12.276762969292045,0.0,0.18366510168115,99.9850833133248
concepcion,PGA,2475,2.6662544848690626,55.839748479631744,32.11874621835911,12.026012459483638,0.0,0.01245713022340623,99.9969642876979
copiapo,PGA,475,1.0681946858787545,58.07502492919363,25.059326941142356,16.157378015984627,0.04178497686822198,0.6425165156704103,99.97603137885925
copiapo,PGA,2475,2.071690336252707,59.743292939483204,24.248301838628965,15.881032753354127,0.028321921785708786,0.08640205007367585,99.98735150332567
iquique,PGA,475,1.201432923216584,36.47024150583897,30.07119025689179,31.899981726298833,0.024765782040428078,1.524916533176256,99.99109580424627
iquique,PGA,2475,2.2678192254848923,35.61314616081412,32.16057948365816,31.81506468252049,0.017696597445410585,0.3628652986451247,99.96935222308329
pucon,PGA,475,0.541427302396618,34.20661695478532,17.493504388448294,14.489983236779597,0.0,33.725712241327685,99.9158168213409
pucon,PGA,2475,0.9657232864681666,38.30403999218503,22.291873418741044,19.604251872242646,0.0,19.666548842414162,99.86671412558287
puerto_aysen,PGA,475,0.48045774920278045,4.769241287429664,0.28204829014935745,0.09781444898680923,0.0,94.84523668595277,99.9943407125186
puerto_aysen,PGA,2475,0.8679213708562705,3.6520481979750934,0.2970252145253153,0.12730112589876283,0.0,95.91771811854343,99.9940926569426
puerto_montt,PGA,475,0.627052894425627,79.99888463565767,12.152781630997236,4.710603904842419,0.0,3.119686153106217,99.98195632460354
puerto_montt,PGA,2475,1.3078611902260053,82.51804198286962,11.927255869496657,4.745813489889236,0.0,0.7894133642712846,99.9805247065268
santiago_centro,PGA,475,0.8789105746200455,40.932206885080035,19.529322862213302,37.63271736019756,0.0,1.8519327055781982,99.9461798130691
santiago_centro,PGA,2475,1.6591389736218674,40.008952283712226,19.588920786860577,40.01267328060879,0.0,0.35303113347243337,99.96357748465402
santiago_penalolen,PGA,475,0.8095757194863953,35.46848211378686,18.449142063294907,41.48885854604838,0.0,4.585929210052655,99.99241193318281
santiago_penalolen,PGA,2475,1.5141530845414735,33.725840022364636,18.969070707261395,45.09858150635353,0.0,2.1921888329287573,99.98568106890832
valparaiso,PGA,475,1.5098312807205656,50.909198233759554,31.076963007821217,17.914382686108734,0.0,0.09084053484529296,99.99138446253481
valparaiso,PGA,2475,2.81954460230374,52.39866273004545,29.735209333535558,17.86250127817749,0.0,0.002940462605595098,99.99931380436409
