site,lon,lat,imt,poe,return_period,mean,q2.5,q16,q50,q84,q97.5
iquique,-70.1357,-20.2133,PGA,0.002105,475,1.2013951675145258,0.9252956444589402,0.9435447978961413,1.1041597393152915,1.4048939181391114,1.5229354462398441
iquique,-70.1357,-20.2133,PGA,0.000404,2475,2.2677980651422365,1.6390308640702667,1.674540898730605,2.0676279793760637,2.682847450532237,2.8648438990473286
antofagasta,-70.4,-23.65,PGA,0.002105,475,1.3902832179325477,1.1692484789329889,1.1754625885953605,1.4681646607642818,1.5285588349900614,1.7575362621682291
antofagasta,-70.4,-23.65,PGA,0.000404,2475,2.6631944665682217,2.135166379291426,2.188698017026801,2.793559762894219,2.9460287823838787,
copiapo,-70.3314,-27.3668,PGA,0.002105,475,1.0681794220086032,0.8418542469870519,0.9036149466071232,1.0497249319758561,1.2052305136222274,1.3241791869679693
copiapo,-70.3314,-27.3668,PGA,0.000404,2475,2.0716834563076527,1.5662146935121797,1.7418102296065714,2.0512690295950162,2.3208778646797517,2.527426706312875
valparaiso,-71.6127,-33.0472,PGA,0.002105,475,1.5045724804798186,1.273571302729049,1.2982997196462647,1.5593270140710354,1.6621438847356416,1.8663096172725522
valparaiso,-71.6127,-33.0472,PGA,0.000404,2475,2.8149299463352544,2.2803789505077066,2.377128570245237,2.8642331135655223,,
santiago_centro,-70.6693,-33.4489,PGA,0.002105,475,0.8828609007413644,0.6579619357125571,0.728226152589574,0.8821556364547491,1.0468709473058544,1.0763322726687226
santiago_centro,-70.6693,-33.4489,PGA,0.000404,2475,1.6702672129492737,1.1582930696755198,1.3419069552650538,1.6902019667740438,1.9741010011010522,2.007940473850691
santiago_penalolen,-70.52,-33.46,PGA,0.002105,475,0.8093663547413619,0.6046359440114397,0.6705961932001882,0.8212018553630752,0.9584576792728123,0.9750036742461649
santiago_penalolen,-70.52,-33.46,PGA,0.000404,2475,1.5147964995390535,1.042193295688833,1.2158242197185591,1.558137754333548,1.7873227450021831,1.8001234710170098
concepcion,-73.0503,-36.8269,PGA,0.002105,475,1.4182075687910942,1.2129378357659681,1.2267142589912463,1.4914644927361655,1.5412483366871126,1.7539617607698021
concepcion,-73.0503,-36.8269,PGA,0.000404,2475,2.6663606338075163,2.1838147970828694,2.2681607367373524,2.7614311145866304,2.9264038448381644,
pucon,-71.96,-39.2822,PGA,0.002105,475,0.5424017769170205,0.4089618448090314,0.4609013266484438,0.5365428725037522,0.6009294511394966,0.6594172156754539
pucon,-71.96,-39.2822,PGA,0.000404,2475,0.9675067730430345,0.7215539385741117,0.8427663980006689,0.9736380522186601,1.0662796548568498,1.127215131979595
puerto_montt,-72.9423,-41.4693,PGA,0.002105,475,0.6278566630930958,0.5444075686023129,0.5646427224474749,0.6067547397286392,0.6932626448952118,0.7289571167560698
puerto_montt,-72.9423,-41.4693,PGA,0.000404,2475,1.308844425813788,1.1024465370029188,1.1619545756782728,1.282140033338324,1.4424553160415778,1.5098441899071453
puerto_aysen,-72.702,-45.4028,PGA,0.002105,475,0.48047139827194535,0.28474270125317724,0.3310750114239038,0.43647437234594694,0.5998222379273698,0.6840967479186566
puerto_aysen,-72.702,-45.4028,PGA,0.000404,2475,0.8679384724368979,0.5675266381604105,0.6500793765513674,0.808239346500349,1.0326596405806017,1.140652216705507
