site,return_period,iml,mean_M,mean_R,mean_eps,Active Shallow Crust,Subduction Interface,Subduction IntraSlab
iquique,475,1.2014,7.7389154236857,64.1809937465348,1.6817170047197867,1.5302442766471456,36.500807493272994,61.96894823007985
antofagasta,475,1.39028,8.097332275890496,43.55648816023846,1.623163955961101,0.07499643372372165,61.28646389141028,38.638539674866
copiapo,475,1.06818,8.187865721883318,61.862623241472804,1.597712098277207,0.6463672128497027,58.15109119705313,41.20254159009718
valparaiso,475,1.50457,8.026625141349959,43.50900419147304,1.693239107875494,0.09387676155763824,51.31575232196291,48.59037091647946
santiago_centro,475,0.882861,7.968331486595918,82.26757244827765,1.6701645846368764,1.829523494421486,40.6216673399187,57.54880916565981
santiago_penalolen,475,0.809366,7.8680092327515085,91.44566067943924,1.6857392943598042,4.591365548314882,35.50673171469062,59.901902736994494
concepcion,475,1.41821,8.017758990018558,43.77266893361939,1.6775175981426738,0.18551365720515461,54.281311732387906,45.533174610406945
pucon,475,0.542402,7.522633233163251,79.15274189257002,1.691567051943846,33.682617999810354,34.06986951578354,32.247512484406094
puerto_montt,475,0.627857,8.30773535069635,73.41132097147587,1.420676598549087,3.1112859943672997,79.84020001719615,17.048513988436547
puerto_aysen,475,0.480471,6.647479453260068,17.840396812725864,1.3388106842958754,94.85046185107052,4.76515601297004,0.3843821359594441
iquique,2475,2.2678,7.91050240094501,58.55077529773114,1.9987019278372442,0.37644157033839193,35.70200553561545,63.92155289404616
antofagasta,2475,2.66319,8.313201689451413,38.906380204014106,2.0374703950111606,0.005034609696911061,64.0441993126158,35.95076607768728
copiapo,2475,2.07168,8.364681492787577,57.67060449564083,2.034101183316976,0.09053757151159199,59.84765313085368,40.06180929763473
valparaiso,2475,2.81493,8.219828005062917,39.94051626633197,2.098073598561355,0.003145413389327756,52.73476751097901,47.262087075631655
santiago_centro,2475,1.67027,8.112395377365425,78.37535709234614,2.041374609816832,0.3465825899260392,39.29905148401531,60.354365926058655
santiago_penalolen,2475,1.5148,8.01738860444739,88.42803960137445,2.0460738813225983,2.1898632251019494,33.72874302339761,64.08139375150044
concepcion,2475,2.66636,8.21951437394141,40.0643229835857,2.0917173812769168,0.013074758454048789,55.92151883305793,44.065406408488016
pucon,2475,0.967507,7.849690339860938,89.01159726403193,2.062089717715708,19.61900171095964,38.147250752861844,42.23374753617851
puerto_montt,2475,1.30884,8.570019528598788,71.3500175146098,1.8898327020538548,0.7919349010286006,82.40032664045184,16.807738458519566
puerto_aysen,2475,0.867938,6.712933785379679,15.405196648871089,1.8495187197662508,95.91312187860727,3.6597860015749837,0.42709211981774037
