site,row,return_period,PGA
iquique,declustered (gk74),475,1.2013948297785708
iquique,declustered (gk74),2475,2.2677983639172306
iquique,full catalog,475,1.1302891850011536
iquique,full catalog,2475,2.080177399952929
antofagasta,declustered (gk74),475,1.3902837109955062
antofagasta,declustered (gk74),2475,2.6631934009843268
antofagasta,full catalog,475,1.195383471097335
antofagasta,full catalog,2475,2.2827621050678975
copiapo,declustered (gk74),475,1.0681792873583542
copiapo,declustered (gk74),2475,2.0716832448839835
copiapo,full catalog,475,0.9112209948757962
copiapo,full catalog,2475,1.7744806560312487
valparaiso,declustered (gk74),475,1.509811182452578
valparaiso,declustered (gk74),2475,2.8195329810994223
valparaiso,full catalog,475,1.4143661468440314
valparaiso,full catalog,2475,2.6014667474178417
santiago_centro,declustered (gk74),475,0.8788891880756893
santiago_centro,declustered (gk74),2475,1.6591288906149906
santiago_centro,full catalog,475,0.7579831431251591
santiago_centro,full catalog,2475,1.439296893032378
santiago_penalolen,declustered (gk74),475,0.8095567080084848
santiago_penalolen,declustered (gk74),2475,1.5141430662429765
santiago_penalolen,full catalog,475,0.7052670114140754
santiago_penalolen,full catalog,2475,1.3265626818428828
concepcion,declustered (gk74),475,1.4180990107563132
concepcion,declustered (gk74),2475,2.6662471753602612
concepcion,full catalog,475,1.3037988030417138
concepcion,full catalog,2475,2.4277514707388392
pucon,declustered (gk74),475,0.5414244870529926
pucon,declustered (gk74),2475,0.9657210221198079
pucon,full catalog,475,0.4830453238457769
pucon,full catalog,2475,0.8504056730293349
puerto_montt,declustered (gk74),475,0.6270522184333698
puerto_montt,declustered (gk74),2475,1.3078607515443958
puerto_montt,full catalog,475,0.5003916875230771
puerto_montt,full catalog,2475,1.0402053328384753
puerto_aysen,declustered (gk74),475,0.48045774866327584
puerto_aysen,declustered (gk74),2475,0.8679213705439908
puerto_aysen,full catalog,475,0.5193064874887746
puerto_aysen,full catalog,2475,0.8862677129084287
