site,imt,return_period,family,axis,row,iml_ref,iml,rel_pct
iquique,PGA,475,interface,Z_BOTTOM 40 / 60 km,zbot40,1.2013948297785708,1.2411740505782203,3.3110863983808914
iquique,PGA,475,interface,Z_BOTTOM 40 / 60 km,zbot60,1.2013948297785708,1.1864338603164006,-1.2452999706122903
iquique,PGA,475,interface,Z_TOP 10 km,ztop10,1.2013948297785708,1.2209871338845748,1.6307964393033947
iquique,PGA,475,interface,declustering,dc_gk74sym,1.2013948297785708,1.2145378932527033,1.0939836886558751
iquique,PGA,475,interface,declustering,dc_gruenthal,1.2013948297785708,1.2060049719322588,0.3837324782342888
iquique,PGA,475,interface,no declustering (full catalog),raw,1.2013948297785708,1.1299850624727859,-5.9439049957412005
iquique,PGA,475,interface,classification tolerance -5 / +5 km,cls_m5,1.2013948297785708,1.1994419681424784,-0.16254952890486507
iquique,PGA,475,interface,classification tolerance -5 / +5 km,cls_p5,1.2013948297785708,1.2108606240338522,0.7879003655297812
iquique,PGA,475,interface,default-depth events to interface,cls_fix,1.2013948297785708,1.2003821431414752,-0.08429257492994502
iquique,PGA,475,interface,"completeness table, ends of the ensemble",mc_lo,1.2013948297785708,1.1718598828190345,-2.458388052575511
iquique,PGA,475,interface,"completeness table, ends of the ensemble",mc_hi,1.2013948297785708,1.21415394006823,1.0620247376968317
iquique,PGA,475,interface,keep 1962 / 1998 events,keep6298,1.2013948297785708,1.2069022341092506,0.4584175155552206
iquique,PGA,475,interface,b: fit floor 5.4 / 6.0,fit54,1.2013948297785708,1.1603796749008268,-3.4139613273767355
iquique,PGA,475,interface,b: fit floor 5.4 / 6.0,fit60,1.2013948297785708,1.2283122528039778,2.2405143053901844
iquique,PGA,475,interface,MMIN_HAZ 6.5,mmin65,1.2013948297785708,1.2020824771964698,0.057237421108746744
iquique,PGA,475,interface,geometry: segmented,seg,1.2013948297785708,1.1253266841364054,-6.331652488981132
iquique,PGA,475,interface,rate: geodetic (mid),geo,1.2013948297785708,1.216041245094175,1.2191175584053138
iquique,PGA,475,interface,MFD: tapered,tapered,1.2013948297785708,1.214816778452271,1.117197139609294
iquique,PGA,475,interface,full 16-branch tree,tree,1.2013948297785708,1.2529981705431823,4.295285736673482
iquique,PGA,475,interface,rupture scaling: Allen & Hayes,msr_ah,1.2013948297785708,1.1940402738040001,-0.6121681059611528
iquique,PGA,475,interface,rupture aspect ratio 1.5 / 2 / 3,asp15,1.2013948297785708,1.2114212191625662,0.8345623882735742
iquique,PGA,475,interface,rupture aspect ratio 1.5 / 2 / 3,asp20,1.2013948297785708,1.225516636056674,2.007816721048239
iquique,PGA,475,interface,rupture aspect ratio 1.5 / 2 / 3,asp30,1.2013948297785708,1.2478178887562268,3.864096783753612
iquique,PGA,475,interface,GMM (single vs tree),gmm_ag,1.2013948297785708,1.1499670704183549,-4.28067094060115
iquique,PGA,475,interface,GMM (single vs tree),gmm_pk,1.2013948297785708,1.156998850000886,-3.6953696384615986
iquique,PGA,475,interface,GMM (single vs tree),gmm_ku,1.2013948297785708,1.2929880278533048,7.623904798359704
iquique,PGA,475,intraslab,class domain cut at 50 km,classmask,1.2013948297785708,1.1831150883731352,-1.5215432056424616
iquique,PGA,475,intraslab,declustering,dc_gk74sym,1.2013948297785708,1.224799580769947,1.948131489436311
iquique,PGA,475,intraslab,declustering,dc_gruenthal,1.2013948297785708,1.2308418923434896,2.451072855902514
iquique,PGA,475,intraslab,no declustering (full catalog),raw,1.2013948297785708,1.1986841550963143,-0.22562729712729546
iquique,PGA,475,intraslab,classification tolerance -5 / +5 km,cls_m5,1.2013948297785708,1.2385148986670462,3.0897476806452495
