site,class,M,model,obs,n_obs,ratio
iquique,intra_slab,5.0,0.7988058790347605,1.1819016156178532,59,0.6758649522762309
iquique,intra_slab,5.5,0.2701590060315559,0.32077543007697495,17,0.84220604416843
iquique,intra_slab,6.0,0.09070428428228192,0.11321485767422645,6,0.801169441410965
iquique,intra_slab,6.5,0.029786498132972218,0.03773828589140882,2,0.7892912311566637
iquique,intra_slab,7.0,0.009107317149830416,0.0,0,
iquique,slab_deep,5.0,2.064887162425376,3.33802900383258,186,0.618594733615125
iquique,slab_deep,5.5,0.6347308100421897,0.917942212959096,59,0.6914714249778964
iquique,slab_deep,6.0,0.19458616168642195,0.21949157300603256,15,0.8865313552656252
iquique,slab_deep,6.5,0.05912732800476835,0.07662666937926953,6,0.7716285789757238
iquique,slab_deep,7.0,0.017438542986155603,0.03552885226127386,3,0.490827647848435
iquique,deep_nest,5.0,0.00295047040071782,0.0,0,
iquique,deep_nest,5.5,0.0009008733658242791,0.0,0,
iquique,deep_nest,6.0,0.00027008977024675537,0.0,0,
iquique,deep_nest,6.5,7.595993024609589e-05,0.0,0,
iquique,deep_nest,7.0,1.6214567426098554e-05,0.0,0,
antofagasta,intra_slab,5.0,1.0009654206071736,0.9218590042325416,47,1.085811838916179
antofagasta,intra_slab,5.5,0.3385300862206265,0.32890573759291836,18,1.0292617231251224
antofagasta,intra_slab,6.0,0.11365946902793496,0.14021430813587427,8,0.810612486978102
antofagasta,intra_slab,6.5,0.03732478116975336,0.045868593407352234,3,0.8137328484934662
antofagasta,intra_slab,7.0,0.011412171318140873,0.026999450461647825,2,0.42268161473699745
antofagasta,slab_deep,5.0,0.863772272490878,1.3038246182962865,75,0.6624911513172478
antofagasta,slab_deep,5.5,0.26551711114623827,0.3153029578069425,20,0.8421015552566186
antofagasta,slab_deep,6.0,0.08139821590916971,0.029573150553416663,2,2.7524363953763986
antofagasta,slab_deep,6.5,0.024733819555062347,0.013699272372665224,1,1.8054841806353785
antofagasta,slab_deep,7.0,0.007294795656722114,0.0,0,
antofagasta,deep_nest,5.0,0.02169607443529617,0.0,0,
antofagasta,deep_nest,5.5,0.006624508280762333,0.0,0,
antofagasta,deep_nest,6.0,0.001986085933300667,0.0,0,
antofagasta,deep_nest,6.5,0.0005585659494561448,0.0,0,
antofagasta,deep_nest,7.0,0.00011923266938288052,0.0,0,
copiapo,intra_slab,5.0,0.8304877068776626,1.3294275642027265,65,0.6246957180970714
copiapo,intra_slab,5.5,0.28087391355030805,0.3962520018597926,21,0.7088264847421283
copiapo,intra_slab,6.0,0.09430175094429055,0.2264297153484529,12,0.4164725058244652
copiapo,intra_slab,6.5,0.03096787489879144,0.15095314356563527,8,0.20514892348251387
copiapo,intra_slab,7.0,0.009468526877530727,0.0,0,
copiapo,slab_deep,5.0,0.646027323689689,1.1854995554697785,63,0.5449410088000306
copiapo,slab_deep,5.5,0.19858394876810606,0.10894254145717386,7,1.8228319819964078
copiapo,slab_deep,6.0,0.06087886037980656,0.013699272372665224,1,4.4439484611811135
