site,class,band,model,obs,n_obs
iquique,intra_slab,0-70,0.17875102459608774,0.2264297153484529,12
iquique,intra_slab,70-100,0.07138230880861082,0.09434571472852205,5
iquique,intra_slab,100-150,0.02002567262685734,0.0,0
iquique,intra_slab,150-700,0.0,0.0,0
iquique,slab_deep,0-70,0.06243897944469199,0.10894254145717386,7
iquique,slab_deep,70-100,0.1849861744669557,0.1964422398768745,13
iquique,slab_deep,100-150,0.3873056561305421,0.6125574316250477,39
iquique,slab_deep,150-700,0.0,0.0,0
iquique,deep_nest,0-70,0.0002098424217796127,0.0,0
iquique,deep_nest,70-100,0.0003748336906749981,0.0,0
iquique,deep_nest,100-150,0.00031619725336966845,0.0,0
iquique,deep_nest,150-700,0.0,0.0,0
antofagasta,intra_slab,0-70,0.2628278720557508,0.23456002286439634,13
antofagasta,intra_slab,70-100,0.0727903239090438,0.09434571472852205,5
antofagasta,intra_slab,100-150,0.002911890255831881,0.0,0
antofagasta,intra_slab,150-700,0.0,0.0,0
antofagasta,slab_deep,0-70,0.047968814007742396,0.04762163454225432,3
antofagasta,slab_deep,70-100,0.1816770306801006,0.15656417599942818,10
antofagasta,slab_deep,100-150,0.03587126645839531,0.11111714726526006,7
antofagasta,slab_deep,150-700,0.0,0.0,0
antofagasta,deep_nest,0-70,0.0022138454425444523,0.0,0
antofagasta,deep_nest,70-100,0.003686288674365973,0.0,0
antofagasta,deep_nest,100-150,0.000724374163851907,0.0,0
antofagasta,deep_nest,150-700,0.0,0.0,0
copiapo,intra_slab,0-70,0.1924227805895452,0.3585137159683838,19
copiapo,intra_slab,70-100,0.0658248639903419,0.03773828589140882,2
copiapo,intra_slab,100-150,0.02262626897042095,0.0,0
copiapo,intra_slab,150-700,0.0,0.0,0
copiapo,slab_deep,0-70,0.03506973728122896,0.013699272372665224,1
copiapo,slab_deep,70-100,0.0705062531290179,0.03174775636150288,2
copiapo,slab_deep,100-150,0.0930079583578592,0.06349551272300576,4
copiapo,slab_deep,150-700,0.0,0.0,0
copiapo,deep_nest,0-70,0.0002057285968388234,0.0,0
copiapo,deep_nest,70-100,0.00045368511672005404,0.0,0
copiapo,deep_nest,100-150,0.0006689654138907399,0.0,0
copiapo,deep_nest,150-700,0.0,0.0,0
valparaiso,intra_slab,0-70,0.3386835939963183,0.5849434313168367,31
valparaiso,intra_slab,70-100,0.06958120134748173,0.09434571472852205,5
valparaiso,intra_slab,100-150,0.012029536373860977,0.0,0
valparaiso,intra_slab,150-700,0.0,0.0,0
valparaiso,slab_deep,0-70,0.08629763005167956,0.05575194205819774,4
valparaiso,slab_deep,70-100,0.14183436515868889,0.14286490362676296,9
valparaiso,slab_deep,100-150,0.07406351563305211,0.1269910254460115,8
valparaiso,slab_deep,150-700,0.0,0.0,0
valparaiso,deep_nest,0-70,0.0,0.0,0
valparaiso,deep_nest,70-100,0.0,0.0,0
valparaiso,deep_nest,100-150,0.0,0.0,0
valparaiso,deep_nest,150-700,0.0,0.0,0
santiago_centro,intra_slab,0-70,0.1261438194732728,0.2264297153484529,12
santiago_centro,intra_slab,70-100,0.05910552146194641,0.03773828589140882,2
santiago_centro,intra_slab,100-150,0.02911106106581068,0.0,0
santiago_centro,intra_slab,150-700,0.000614631444498882,0.0,0
santiago_centro,slab_deep,0-70,0.048732820759855786,0.0398780638774463,3
santiago_centro,slab_deep,70-100,0.13601769156259388,0.1904865381690173,12
santiago_centro,slab_deep,100-150,0.1893018483860378,0.23593356690318543,15
santiago_centro,slab_deep,150-700,0.0031448557520773733,0.0,0
santiago_centro,deep_nest,0-70,0.0,0.0,0
santiago_centro,deep_nest,70-100,0.0,0.0,0
santiago_centro,deep_nest,100-150,0.0,0.0,0
santiago_centro,deep_nest,150-700,0.0,0.0,0
santiago_penalolen,intra_slab,0-70,0.09120592010525251,0.16982228651133968,9
santiago_penalolen,intra_slab,70-100,0.05530995604108078,0.01886914294570441,1
santiago_penalolen,intra_slab,100-150,0.03029580025084092,0.0,0
santiago_penalolen,intra_slab,150-700,0.001211157678876459,0.0,0
santiago_penalolen,slab_deep,0-70,0.041185018776186896,0.0398780638774463,3
santiago_penalolen,slab_deep,70-100,0.1306065604204744,0.1904865381690173,12
santiago_penalolen,slab_deep,100-150,0.19990039170598922,0.26768132326468824,17
santiago_penalolen,slab_deep,150-700,0.006483667947708308,0.0,0
santiago_penalolen,deep_nest,0-70,0.0,0.0,0
santiago_penalolen,deep_nest,70-100,0.0,0.0,0
santiago_penalolen,deep_nest,100-150,0.0,0.0,0
santiago_penalolen,deep_nest,150-700,0.0,0.0,0
concepcion,intra_slab,0-70,0.24301176602360958,0.14021430813587427,8
concepcion,intra_slab,70-100,0.065224565764016,0.0,0
concepcion,intra_slab,100-150,0.01879451101517672,0.0,0
concepcion,intra_slab,150-700,0.0,0.0,0
concepcion,slab_deep,0-70,0.07237550816549052,0.01587387818075144,1
concepcion,slab_deep,70-100,0.08631078686780626,0.03174775636150288,2
concepcion,slab_deep,100-150,0.025686854885715413,0.008130307515943418,1
concepcion,slab_deep,150-700,0.0,0.0,0
concepcion,deep_nest,0-70,0.0,0.0,0
concepcion,deep_nest,70-100,0.0,0.0,0
concepcion,deep_nest,100-150,0.0,0.0,0
concepcion,deep_nest,150-700,0.0,0.0,0
pucon,intra_slab,0-70,0.018349615705745354,0.01886914294570441,1
pucon,intra_slab,70-100,0.025801041207148656,0.0,0
pucon,intra_slab,100-150,0.027126414897444287,0.0,0
pucon,intra_slab,150-700,0.007957883918590331,0.0,0
pucon,slab_deep,0-70,0.007928382130457889,0.013699272372665224,1
pucon,slab_deep,70-100,0.018709523893913314,0.0,0
pucon,slab_deep,100-150,0.032107648495988565,0.04762163454225432,3
pucon,slab_deep,150-700,0.012838745709322398,0.01587387818075144,1
pucon,deep_nest,0-70,0.0,0.0,0
pucon,deep_nest,70-100,0.0,0.0,0
pucon,deep_nest,100-150,0.0,0.0,0
pucon,deep_nest,150-700,0.0,0.0,0
puerto_montt,intra_slab,0-70,0.026115442006308665,0.01886914294570441,1
puerto_montt,intra_slab,70-100,0.009808781042711089,0.0,0
puerto_montt,intra_slab,100-150,0.008916813587163726,0.0,0
puerto_montt,intra_slab,150-700,0.0017293662737494706,0.0,0
puerto_montt,slab_deep,0-70,0.006539905010973828,0.01587387818075144,1
puerto_montt,slab_deep,70-100,0.005625239419952237,0.0,0
puerto_montt,slab_deep,100-150,0.007900186809640749,0.01587387818075144,1
puerto_montt,slab_deep,150-700,0.0018361999892544994,0.03174775636150288,2
puerto_montt,deep_nest,0-70,0.0,0.0,0
puerto_montt,deep_nest,70-100,0.0,0.0,0
puerto_montt,deep_nest,100-150,0.0,0.0,0
puerto_montt,deep_nest,150-700,0.0,0.0,0
puerto_aysen,intra_slab,0-70,0.0008427756539936237,0.0,0
puerto_aysen,intra_slab,70-100,0.00027714303294325396,0.0,0
puerto_aysen,intra_slab,100-150,0.0005049898827765146,0.0,0
puerto_aysen,intra_slab,150-700,0.0001489336836202874,0.0,0
puerto_aysen,slab_deep,0-70,0.0002381684903830604,0.0,0
puerto_aysen,slab_deep,70-100,9.473715036158805e-05,0.0,0
puerto_aysen,slab_deep,100-150,0.00021430848942292035,0.0,0
puerto_aysen,slab_deep,150-700,7.799241954888311e-05,0.0,0
puerto_aysen,deep_nest,0-70,0.0,0.0,0
puerto_aysen,deep_nest,70-100,0.0,0.0,0
puerto_aysen,deep_nest,100-150,0.0,0.0,0
puerto_aysen,deep_nest,150-700,0.0,0.0,0
