site,M,ratio,n_obs,variant
iquique,5.5,0.7312325730821884,76,ref
iquique,6.0,0.8582958109799296,21,ref
antofagasta,5.5,0.9479407993221556,38,ref
antofagasta,6.0,1.1605319520742292,10,ref
copiapo,5.5,0.9516853414313532,28,ref
copiapo,6.0,0.6478970846617216,13,ref
valparaiso,5.5,0.7189690388286875,57,ref
valparaiso,6.0,1.2249246708793338,11,ref
santiago_centro,5.5,0.8106771731159866,44,ref
santiago_centro,6.0,1.1679730128627142,10,ref
santiago_penalolen,5.5,0.8099144004102572,42,ref
santiago_penalolen,6.0,1.0926844146904595,10,ref
concepcion,5.5,2.6096534082545024,12,ref
concepcion,6.0,3.080081116842984,4,ref
pucon,5.5,1.569988434094137,6,ref
pucon,6.0,3.5438303705985157,1,ref
puerto_montt,5.5,0.8313266604933593,5,ref
puerto_montt,6.0,0.4415516710093662,3,ref
puerto_aysen,5.5,,0,ref
puerto_aysen,6.0,,0,ref
iquique,5.5,0.743221573636796,79,cls_m5
iquique,6.0,0.9159788342410694,21,cls_m5
antofagasta,5.5,0.8842553906641913,45,cls_m5
antofagasta,6.0,1.0725618651374984,12,cls_m5
copiapo,5.5,0.8281578602424712,36,cls_m5
copiapo,6.0,0.5954207658272815,16,cls_m5
valparaiso,5.5,0.7074683583038133,64,cls_m5
valparaiso,6.0,0.9814590577910446,15,cls_m5
santiago_centro,5.5,0.7831185333079995,48,cls_m5
santiago_centro,6.0,0.9243414293421315,13,cls_m5
santiago_penalolen,5.5,0.8788527469402949,41,cls_m5
santiago_penalolen,6.0,1.0356930490912644,11,cls_m5
concepcion,5.5,1.9796791477628017,17,cls_m5
concepcion,6.0,2.045800404739519,6,cls_m5
pucon,5.5,1.6960830367826658,6,cls_m5
pucon,6.0,3.842332320282542,1,cls_m5
puerto_montt,5.5,1.6508015681733093,5,cls_m5
puerto_montt,6.0,0.8898052153085493,3,cls_m5
puerto_aysen,5.5,,0,cls_m5
puerto_aysen,6.0,,0,cls_m5
iquique,5.5,0.7541652697167578,70,cls_p5
iquique,6.0,0.9543528945192821,18,cls_p5
