set,dm,dy,b,b_err,n_fit,a,N8.0,steps,N7.0
interface,-0.2,-5,0.801154495924243,0.03617586892161105,281,5.024554523973845,0.0412399905011415,"[[8.1, 1513], [6.6, 1895], [5.8, 1945], [5.1, 1971], [5.0, 1981], [4.8, 1992], [4.6, 1997], [4.2, 2008]]",
interface,-0.2,0,0.8008129815172116,0.03931189785643958,268,5.029247795252834,0.04195115700744637,"[[8.1, 1513], [6.6, 1900], [5.8, 1950], [5.1, 1976], [5.0, 1986], [4.8, 1997], [4.6, 2002], [4.2, 2013]]",
interface,-0.2,5,0.790853828821072,0.036048483602011634,249,4.9677815482873156,0.04374726608975565,"[[8.1, 1513], [6.6, 1905], [5.8, 1955], [5.1, 1981], [5.0, 1991], [4.8, 2002], [4.6, 2007], [4.2, 2018]]",
interface,-0.1,-5,0.7988306765461308,0.03979713630991863,274,5.027554860773655,0.0433420499598069,"[[8.2, 1513], [6.7, 1895], [5.9, 1945], [5.2, 1971], [5.1, 1981], [4.9, 1992], [4.7, 1997], [4.3, 2008]]",
interface,-0.1,0,0.7972860747347533,0.041701212555203516,260,5.024836204202702,0.04431467885203676,"[[8.2, 1513], [6.7, 1900], [5.9, 1950], [5.2, 1976], [5.1, 1986], [4.9, 1997], [4.7, 2002], [4.3, 2013]]",
interface,-0.1,5,0.7822025284238955,0.03789340148195134,238,4.9287040050049455,0.04689038273538096,"[[8.2, 1513], [6.7, 1905], [5.9, 1955], [5.2, 1981], [5.1, 1991], [4.9, 2002], [4.7, 2007], [4.3, 2018]]",
interface,0.0,-5,0.7884132098815536,0.03781816423040221,268,4.981344732733918,0.04721054931697591,"[[8.3, 1513], [6.8, 1895], [6.0, 1945], [5.3, 1971], [5.2, 1981], [5.0, 1992], [4.8, 1997], [4.4, 2008]]",
interface,0.0,0,0.7856388502892121,0.03764051189218658,253,4.970742339714391,0.048487694800541555,"[[8.3, 1513], [6.8, 1900], [6.0, 1950], [5.3, 1976], [5.2, 1986], [5.0, 1997], [4.8, 2002], [4.4, 2013]]",
interface,0.0,5,0.7688830769572362,0.03776477452687811,230,4.863425275609002,0.05156566940389265,"[[8.3, 1513], [6.8, 1905], [6.0, 1955], [5.3, 1981], [5.2, 1991], [5.0, 2002], [4.8, 2007], [4.4, 2018]]",
interface,0.1,-5,0.7940816626791248,0.03770393286779771,253,5.010858271403102,0.04552028473594327,"[[8.4, 1513], [6.9, 1895], [6.1, 1945], [5.4, 1971], [5.3, 1981], [5.1, 1992], [4.9, 1997], [4.5, 2008]]",
interface,0.1,0,0.7893137412912685,0.03867437869491285,241,4.994282891347772,0.04783799411139299,"[[8.4, 1513], [6.9, 1900], [6.1, 1950], [5.4, 1976], [5.3, 1986], [5.1, 1997], [4.9, 2002], [4.5, 2013]]",
interface,0.1,5,0.7717548488917463,0.03991256560816624,218,4.882253614378255,0.05107575831258229,"[[8.4, 1513], [6.9, 1905], [6.1, 1955], [5.4, 1981], [5.3, 1991], [5.1, 2002], [4.9, 2007], [4.5, 2018]]",
interface,0.2,-5,0.7970605384731906,0.03957622458478807,243,5.029336575757731,0.04496268812944931,"[[8.5, 1513], [7.0, 1895], [6.2, 1945], [5.5, 1971], [5.4, 1981], [5.2, 1992], [5.0, 1997], [4.6, 2008]]",
interface,0.2,0,0.7909522250237154,0.040796350519521504,230,5.003792738099822,0.04744330528804963,"[[8.5, 1513], [7.0, 1900], [6.2, 1950], [5.5, 1976], [5.4, 1986], [5.2, 1997], [5.0, 2002], [4.6, 2013]]",
