family,set,catalog,b,M,fitted,observed,ratio
interface,seg0_full,declustered,0.78564,6.5,0.73129,0.69114,1.058092427004659
interface,seg0_full,declustered,0.78564,7.0,0.29599,0.27333,1.0829034500420736
interface,seg0_full,declustered,0.78564,7.5,0.1198,0.14324,0.8363585590617146
interface,seg0_full,declustered,0.78564,8.0,0.04849,0.0782,0.6200767263427109
interface,seg1_south,declustered,0.70873,6.5,0.11887,0.1176,1.0107993197278913
interface,seg1_south,declustered,0.70873,7.0,0.05256,0.04654,1.129351095831543
interface,seg1_south,declustered,0.70873,7.5,0.02324,0.01401,1.6588151320485367
interface,seg1_south,declustered,0.70873,8.0,0.01028,0.00588,1.748299319727891
interface,seg2,declustered,0.73729,6.5,0.20867,0.15284,1.3652839570792985
interface,seg2,declustered,0.73729,7.0,0.08929,0.04625,1.9305945945945946
interface,seg2,declustered,0.73729,7.5,0.03821,0.04625,0.8261621621621622
interface,seg2,declustered,0.73729,8.0,0.01635,0.02999,0.5451817272424141
interface,seg3,declustered,0.7722,6.5,0.24504,0.21562,1.1364437436230406
interface,seg3,declustered,0.7722,7.0,0.10072,0.07906,1.2739691373640274
interface,seg3,declustered,0.7722,7.5,0.0414,0.03841,1.0778443113772456
interface,seg3,declustered,0.7722,8.0,0.01702,0.02214,0.7687443541102078
interface,seg4_north,declustered,0.79109,6.5,0.19729,0.20508,0.9620148234835185
interface,seg4_north,declustered,0.79109,7.0,0.07935,0.10149,0.7818504286136566
interface,seg4_north,declustered,0.79109,7.5,0.03192,0.04458,0.7160161507402422
interface,seg4_north,declustered,0.79109,8.0,0.01284,0.02018,0.6362735381565907
interface,seg0_full,full catalog,1.0436,6.5,1.15229,1.00491,1.1466598998915327
interface,seg0_full,full catalog,1.0436,7.0,0.34655,0.33838,1.0241444529818549
interface,seg0_full,full catalog,1.0436,7.5,0.10422,0.1595,0.6534169278996864
interface,seg0_full,full catalog,1.0436,8.0,0.03135,0.08633,0.36314143403220206
interface,seg1_south,full catalog,0.97233,6.5,0.21548,0.19122,1.1268695743123105
interface,seg1_south,full catalog,0.97233,7.0,0.07035,0.07093,0.9918229240095867
interface,seg1_south,full catalog,0.97233,7.5,0.02297,0.02214,1.0374887082204156
interface,seg1_south,full catalog,0.97233,8.0,0.0075,0.01401,0.5353319057815845
interface,seg2,full catalog,1.11054,6.5,0.33935,0.25387,1.3367077638161264
interface,seg2,full catalog,1.11054,7.0,0.09449,0.07064,1.3376274065685165
interface,seg2,full catalog,1.11054,7.5,0.02631,0.04625,0.5688648648648649
interface,seg2,full catalog,1.11054,8.0,0.00733,0.02999,0.24441480493497833
interface,seg3,full catalog,1.00355,6.5,0.33326,0.28924,1.1521919513207026
interface,seg3,full catalog,1.00355,7.0,0.10496,0.07906,1.327599291677207
interface,seg3,full catalog,1.00355,7.5,0.03306,0.03841,0.8607133558969018
interface,seg3,full catalog,1.00355,8.0,0.01041,0.02214,0.47018970189701903
interface,seg4_north,full catalog,1.01165,6.5,0.28703,0.27057,1.0608345345012382
interface,seg4_north,full catalog,1.01165,7.0,0.08956,0.11775,0.7605944798301487
interface,seg4_north,full catalog,1.01165,7.5,0.02794,0.05271,0.5300701954088408
interface,seg4_north,full catalog,1.01165,8.0,0.00872,0.02018,0.4321110009910803
intraslab,intra_slab,declustered,0.938421555668972,,,,1.7414466694891868
intraslab,slab_deep,declustered,1.0235761875148557,,,,0.7498662578408807
intraslab,deep_nest,declustered,1.0235761875148557,,,,0.394299465866443
intraslab,intra_slab,full catalog,1.012542789958958,,,,1.8804083493144712
intraslab,slab_deep,full catalog,1.1300325323677982,,,,0.6068678194529599
intraslab,deep_nest,full catalog,1.1300325323677982,,,,0.9755863183534906
