class,kernel,n_neighbors,max_dist_km,ll_per_event,n_test,n_blocks
intra_slab,power,10,150.0,-8.2531,868,11
intra_slab,power,10,300.0,-8.3179,868,11
intra_slab,power,10,500.0,-8.3454,868,11
intra_slab,power,25,150.0,-8.3292,868,11
intra_slab,power,25,300.0,-8.4402,868,11
intra_slab,power,25,500.0,-8.4872,868,11
intra_slab,power,50,150.0,-8.4061,868,11
intra_slab,power,50,300.0,-8.5846,868,11
intra_slab,power,50,500.0,-8.6635,868,11
intra_slab,gauss,10,150.0,-8.2129,868,11
intra_slab,gauss,10,300.0,-8.2219,868,11
intra_slab,gauss,10,500.0,-8.2231,868,11
intra_slab,gauss,25,150.0,-8.3313,868,11
intra_slab,gauss,25,300.0,-8.3914,868,11
intra_slab,gauss,25,500.0,-8.4033,868,11
intra_slab,gauss,50,150.0,-8.4431,868,11
intra_slab,gauss,50,300.0,-8.6033,868,11
intra_slab,gauss,50,500.0,-8.6519,868,11
slab_deep,power,10,150.0,-8.6325,4055,13
slab_deep,power,10,300.0,-8.6572,4055,13
slab_deep,power,10,500.0,-8.6716,4055,13
slab_deep,power,25,150.0,-8.6592,4055,13
slab_deep,power,25,300.0,-8.7004,4055,13
slab_deep,power,25,500.0,-8.7193,4055,13
slab_deep,power,50,150.0,-8.6985,4055,13
slab_deep,power,50,300.0,-8.7572,4055,13
slab_deep,power,50,500.0,-8.7814,4055,13
slab_deep,gauss,10,150.0,-8.5784,4055,13
slab_deep,gauss,10,300.0,-8.5653,4055,13
slab_deep,gauss,10,500.0,-8.5655,4055,13
slab_deep,gauss,25,150.0,-8.603,4055,13
slab_deep,gauss,25,300.0,-8.6034,4055,13
slab_deep,gauss,25,500.0,-8.6052,4055,13
slab_deep,gauss,50,150.0,-8.6713,4055,13
slab_deep,gauss,50,300.0,-8.6831,4055,13
slab_deep,gauss,50,500.0,-8.6894,4055,13
deep_nest,power,10,150.0,-5.1262,183,6
deep_nest,power,10,300.0,-5.1585,183,6
deep_nest,power,10,500.0,-5.1689,183,6
deep_nest,power,25,150.0,-5.22,183,6
deep_nest,power,25,300.0,-5.2713,183,6
deep_nest,power,25,500.0,-5.2878,183,6
deep_nest,power,50,150.0,-5.3815,183,6
deep_nest,power,50,300.0,-5.4665,183,6
deep_nest,power,50,500.0,-5.494,183,6
deep_nest,gauss,10,150.0,-5.0614,183,6
deep_nest,gauss,10,300.0,-5.0614,183,6
deep_nest,gauss,10,500.0,-5.0614,183,6
deep_nest,gauss,25,150.0,-5.1458,183,6
deep_nest,gauss,25,300.0,-5.146,183,6
deep_nest,gauss,25,500.0,-5.146,183,6
deep_nest,gauss,50,150.0,-5.3501,183,6
deep_nest,gauss,50,300.0,-5.352,183,6
deep_nest,gauss,50,500.0,-5.352,183,6
