job,key,calc_id,sources,gmm,trunc,site_params,n_realizations
c_cr_cap65,06851c9a,212,"{""cr-cap65-phi050__mobs__tgr"": ""cap_mag-6.5_fault_mmin-6.5"", ""cr-cap65-phi050__mobs__tap"": ""cap_mag-6.5_fault_mmin-6.5"", ""cr-cap65-phi050__mgeo__tgr"": ""cap_mag-6.5_fault_mmin-6.5"", ""cr-cap65-phi050__mgeo__tap"": ""cap_mag-6.5_fault_mmin-6.5"", ""cr-cap65-phi075__mobs__tgr"": ""cap_mag-6.5_fault_mmin-6.5"", ""cr-cap65-phi075__mobs__tap"": ""cap_mag-6.5_fault_mmin-6.5"", ""cr-cap65-phi075__mgeo__tgr"": ""cap_mag-6.5_fault_mmin-6.5"", ""cr-cap65-phi075__mgeo__tap"": ""cap_mag-6.5_fault_mmin-6.5"", ""cr-cap65-phi100__mobs__tgr"": ""cap_mag-6.5_fault_mmin-6.5"", ""cr-cap65-phi100__mobs__tap"": ""cap_mag-6.5_fault_mmin-6.5"", ""cr-cap65-phi100__mgeo__tgr"": ""cap_mag-6.5_fault_mmin-6.5"", ""cr-cap65-phi100__mgeo__tap"": ""cap_mag-6.5_fault_mmin-6.5""}","{""Active Shallow Crust"": [""AbrahamsonEtAl2014"", ""BooreEtAl2014"", ""CampbellBozorgnia2014"", ""ChiouYoungs2014""]}",3.0,{},48
c_cr_cls_fix,9831c801,253,"{""cr-cls_fix-phi050__mobs__tgr"": ""cat_variant-fixdep_if"", ""cr-cls_fix-phi050__mobs__tap"": ""cat_variant-fixdep_if"", ""cr-cls_fix-phi050__mgeo__tgr"": ""cat_variant-fixdep_if"", ""cr-cls_fix-phi050__mgeo__tap"": ""cat_variant-fixdep_if"", ""cr-cls_fix-phi075__mobs__tgr"": ""cat_variant-fixdep_if"", ""cr-cls_fix-phi075__mobs__tap"": ""cat_variant-fixdep_if"", ""cr-cls_fix-phi075__mgeo__tgr"": ""cat_variant-fixdep_if"", ""cr-cls_fix-phi075__mgeo__tap"": ""cat_variant-fixdep_if"", ""cr-cls_fix-phi100__mobs__tgr"": ""cat_variant-fixdep_if"", ""cr-cls_fix-phi100__mobs__tap"": ""cat_variant-fixdep_if"", ""cr-cls_fix-phi100__mgeo__tgr"": ""cat_variant-fixdep_if"", ""cr-cls_fix-phi100__mgeo__tap"": ""cat_variant-fixdep_if""}","{""Active Shallow Crust"": [""AbrahamsonEtAl2014"", ""BooreEtAl2014"", ""CampbellBozorgnia2014"", ""ChiouYoungs2014""]}",3.0,{},48
c_cr_cls_m5,8384b9e4,249,"{""cr-cls_m5-phi050__mobs__tgr"": ""cat_variant-tol_m5"", ""cr-cls_m5-phi050__mobs__tap"": ""cat_variant-tol_m5"", ""cr-cls_m5-phi050__mgeo__tgr"": ""cat_variant-tol_m5"", ""cr-cls_m5-phi050__mgeo__tap"": ""cat_variant-tol_m5"", ""cr-cls_m5-phi075__mobs__tgr"": ""cat_variant-tol_m5"", ""cr-cls_m5-phi075__mobs__tap"": ""cat_variant-tol_m5"", ""cr-cls_m5-phi075__mgeo__tgr"": ""cat_variant-tol_m5"", ""cr-cls_m5-phi075__mgeo__tap"": ""cat_variant-tol_m5"", ""cr-cls_m5-phi100__mobs__tgr"": ""cat_variant-tol_m5"", ""cr-cls_m5-phi100__mobs__tap"": ""cat_variant-tol_m5"", ""cr-cls_m5-phi100__mgeo__tgr"": ""cat_variant-tol_m5"", ""cr-cls_m5-phi100__mgeo__tap"": ""cat_variant-tol_m5""}","{""Active Shallow Crust"": [""AbrahamsonEtAl2014"", ""BooreEtAl2014"", ""CampbellBozorgnia2014"", ""ChiouYoungs2014""]}",3.0,{},48
c_cr_cls_p5,7f6a7780,250,"{""cr-cls_p5-phi050__mobs__tgr"": ""cat_variant-tol_p5"", ""cr-cls_p5-phi050__mobs__tap"": ""cat_variant-tol_p5"", ""cr-cls_p5-phi050__mgeo__tgr"": ""cat_variant-tol_p5"", ""cr-cls_p5-phi050__mgeo__tap"": ""cat_variant-tol_p5"", ""cr-cls_p5-phi075__mobs__tgr"": ""cat_variant-tol_p5"", ""cr-cls_p5-phi075__mobs__tap"": ""cat_variant-tol_p5"", ""cr-cls_p5-phi075__mgeo__tgr"": ""cat_variant-tol_p5"", ""cr-cls_p5-phi075__mgeo__tap"": ""cat_variant-tol_p5"", ""cr-cls_p5-phi100__mobs__tgr"": ""cat_variant-tol_p5"", ""cr-cls_p5-phi100__mobs__tap"": ""cat_variant-tol_p5"", ""cr-cls_p5-phi100__mgeo__tgr"": ""cat_variant-tol_p5"", ""cr-cls_p5-phi100__mgeo__tap"": ""cat_variant-tol_p5""}","{""Active Shallow Crust"": [""AbrahamsonEtAl2014"", ""BooreEtAl2014"", ""CampbellBozorgnia2014"", ""ChiouYoungs2014""]}",3.0,{},48
c_cr_dc_gruenthal,0d2f17d1,213,"{""cr-dc_gruenthal-phi050__mobs__tgr"": ""dc_method-gruenthal"", ""cr-dc_gruenthal-phi050__mobs__tap"": ""dc_method-gruenthal"", ""cr-dc_gruenthal-phi050__mgeo__tgr"": ""dc_method-gruenthal"", ""cr-dc_gruenthal-phi050__mgeo__tap"": ""dc_method-gruenthal"", ""cr-dc_gruenthal-phi075__mobs__tgr"": ""dc_method-gruenthal"", ""cr-dc_gruenthal-phi075__mobs__tap"": ""dc_method-gruenthal"", ""cr-dc_gruenthal-phi075__mgeo__tgr"": ""dc_method-gruenthal"", ""cr-dc_gruenthal-phi075__mgeo__tap"": ""dc_method-gruenthal"", ""cr-dc_gruenthal-phi100__mobs__tgr"": ""dc_method-gruenthal"", ""cr-dc_gruenthal-phi100__mobs__tap"": ""dc_method-gruenthal"", ""cr-dc_gruenthal-phi100__mgeo__tgr"": ""dc_method-gruenthal"", ""cr-dc_gruenthal-phi100__mgeo__tap"": ""dc_method-gruenthal""}","{""Active Shallow Crust"": [""AbrahamsonEtAl2014"", ""BooreEtAl2014"", ""CampbellBozorgnia2014"", ""ChiouYoungs2014""]}",3.0,{},48
c_cr_gmm_ask,6d1469f1,215,"{""cr-ref-phi050__mobs__tgr"": ""ref"", ""cr-ref-phi050__mobs__tap"": ""ref"", ""cr-ref-phi050__mgeo__tgr"": ""ref"", ""cr-ref-phi050__mgeo__tap"": ""ref"", ""cr-ref-phi075__mobs__tgr"": ""ref"", ""cr-ref-phi075__mobs__tap"": ""ref"", ""cr-ref-phi075__mgeo__tgr"": ""ref"", ""cr-ref-phi075__mgeo__tap"": ""ref"", ""cr-ref-phi100__mobs__tgr"": ""ref"", ""cr-ref-phi100__mobs__tap"": ""ref"", ""cr-ref-phi100__mgeo__tgr"": ""ref"", ""cr-ref-phi100__mgeo__tap"": ""ref""}","{""Active Shallow Crust"": [""AbrahamsonEtAl2014""]}",3.0,{},12
c_cr_gmm_bssa,e372d887,216,"{""cr-ref-phi050__mobs__tgr"": ""ref"", ""cr-ref-phi050__mobs__tap"": ""ref"", ""cr-ref-phi050__mgeo__tgr"": ""ref"", ""cr-ref-phi050__mgeo__tap"": ""ref"", ""cr-ref-phi075__mobs__tgr"": ""ref"", ""cr-ref-phi075__mobs__tap"": ""ref"", ""cr-ref-phi075__mgeo__tgr"": ""ref"", ""cr-ref-phi075__mgeo__tap"": ""ref"", ""cr-ref-phi100__mobs__tgr"": ""ref"", ""cr-ref-phi100__mobs__tap"": ""ref"", ""cr-ref-phi100__mgeo__tgr"": ""ref"", ""cr-ref-phi100__mgeo__tap"": ""ref""}","{""Active Shallow Crust"": [""BooreEtAl2014""]}",3.0,{},12
c_cr_gmm_cb,e0c348b8,217,"{""cr-ref-phi050__mobs__tgr"": ""ref"", ""cr-ref-phi050__mobs__tap"": ""ref"", ""cr-ref-phi050__mgeo__tgr"": ""ref"", ""cr-ref-phi050__mgeo__tap"": ""ref"", ""cr-ref-phi075__mobs__tgr"": ""ref"", ""cr-ref-phi075__mobs__tap"": ""ref"", ""cr-ref-phi075__mgeo__tgr"": ""ref"", ""cr-ref-phi075__mgeo__tap"": ""ref"", ""cr-ref-phi100__mobs__tgr"": ""ref"", ""cr-ref-phi100__mobs__tap"": ""ref"", ""cr-ref-phi100__mgeo__tgr"": ""ref"", ""cr-ref-phi100__mgeo__tap"": ""ref""}","{""Active Shallow Crust"": [""CampbellBozorgnia2014""]}",3.0,{},12
c_cr_gmm_cy,a95fcbbf,218,"{""cr-ref-phi050__mobs__tgr"": ""ref"", ""cr-ref-phi050__mobs__tap"": ""ref"", ""cr-ref-phi050__mgeo__tgr"": ""ref"", ""cr-ref-phi050__mgeo__tap"": ""ref"", ""cr-ref-phi075__mobs__tgr"": ""ref"", ""cr-ref-phi075__mobs__tap"": ""ref"", ""cr-ref-phi075__mgeo__tgr"": ""ref"", ""cr-ref-phi075__mgeo__tap"": ""ref"", ""cr-ref-phi100__mobs__tgr"": ""ref"", ""cr-ref-phi100__mobs__tap"": ""ref"", ""cr-ref-phi100__mgeo__tgr"": ""ref"", ""cr-ref-phi100__mgeo__tap"": ""ref""}","{""Active Shallow Crust"": [""ChiouYoungs2014""]}",3.0,{},12
c_cr_margin0,1e16a5be,210,"{""cr-margin0-phi050__mobs__tgr"": ""buffer_margin_km-0.0"", ""cr-margin0-phi050__mobs__tap"": ""buffer_margin_km-0.0"", ""cr-margin0-phi050__mgeo__tgr"": ""buffer_margin_km-0.0"", ""cr-margin0-phi050__mgeo__tap"": ""buffer_margin_km-0.0"", ""cr-margin0-phi075__mobs__tgr"": ""buffer_margin_km-0.0"", ""cr-margin0-phi075__mobs__tap"": ""buffer_margin_km-0.0"", ""cr-margin0-phi075__mgeo__tgr"": ""buffer_margin_km-0.0"", ""cr-margin0-phi075__mgeo__tap"": ""buffer_margin_km-0.0"", ""cr-margin0-phi100__mobs__tgr"": ""buffer_margin_km-0.0"", ""cr-margin0-phi100__mobs__tap"": ""buffer_margin_km-0.0"", ""cr-margin0-phi100__mgeo__tgr"": ""buffer_margin_km-0.0"", ""cr-margin0-phi100__mgeo__tap"": ""buffer_margin_km-0.0""}","{""Active Shallow Crust"": [""AbrahamsonEtAl2014"", ""BooreEtAl2014"", ""CampbellBozorgnia2014"", ""ChiouYoungs2014""]}",3.0,{},48
