id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class,time,mc_window,tc_years,mc_window_index
209,1911-09-15T13:09:56,-71.292,-20.18,15.0,7.2,mw,,,25.0,0.26,,,,,,,,,,,,,ISC-GEM,,outer_rise,,outer_rise,1911-09-15T13:09:56,6.8,49.998631074606436,1
210,1913-05-24T23:24:55,-72.245,-25.619,15.0,6.9,mw,,,25.0,0.23,,,,,,,,,,,,,ISC-GEM,,outer_rise,,outer_rise,1913-05-24T23:24:55,6.8,49.998631074606436,1
226,1916-08-25T09:44:22,-71.886,-20.162,15.0,6.9,mw,,,25.0,0.21,,,,,,,,,,,,,ISC-GEM,,outer_rise,,outer_rise,1916-08-25T09:44:22,6.8,49.998631074606436,1
263,1922-11-17T11:02:54,-72.486,-30.42,15.0,6.8,mw,,,14.3,0.29,,,,,,,,,,,,,ISC-GEM,,outer_rise,,outer_rise,1922-11-17T11:02:54,6.8,49.998631074606436,1
291,1925-10-25T04:30:00,-73.0,-18.0,9.42,6.9,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1925-10-25T04:30:00,6.8,49.998631074606436,1
300,1926-06-05T01:20:15,-78.5,-17.0,,6.8,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1926-06-05T01:20:15,6.8,49.998631074606436,1
710,1952-02-20T09:10:03,-74.5,-16.0,96.0,6.2,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1952-02-20T09:10:03,6.0,25.998631074606433,2
860,1959-07-09T02:32:40,-72.0,-20.0,4.49,6.7,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1959-07-09T02:32:40,6.0,25.998631074606433,2
903,1960-05-25T08:34:43,-75.985,-44.808,20.0,6.7,mw,,,,0.27,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1960-05-25T08:34:43,6.0,25.998631074606433,2
906,1960-05-27T03:17:21,-76.0,-41.0,5.19,6.0,mw,,,,0.17,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1960-05-27T03:17:21,6.0,25.998631074606433,2
915,1960-05-31T02:40:06,-75.612,-39.649,15.0,6.0,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1960-05-31T02:40:06,6.0,25.998631074606433,2
939,1960-07-27T10:04:58,-76.038,-44.669,20.0,6.1,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1960-07-27T10:04:58,6.0,25.998631074606433,2
952,1960-11-01T08:45:59,-75.031,-38.467,20.0,6.8,mw,,,,,,,,,,,,,,,,,ISC,,outer_rise,,outer_rise,1960-11-01T08:45:59,6.0,25.998631074606433,2
951,1960-11-01T08:46:00,-75.031,-38.467,20.0,7.4,mw,,,,0.4,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1960-11-01T08:46:00,6.0,25.998631074606433,2
969,1960-12-29T10:36:46,-76.148,-44.858,25.0,6.3,mw,,,,,,,,,,,,,,,,,ISC,,outer_rise,,outer_rise,1960-12-29T10:36:46,6.0,25.998631074606433,2
1004,1961-12-09T11:18:12,-75.84,-43.789,25.0,6.7,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1961-12-09T11:18:12,6.0,25.998631074606433,2
1038,1962-11-04T22:53:36,-75.762,-43.271,20.0,6.1,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1962-11-04T22:53:36,6.0,25.998631074606433,2
1039,1962-11-11T22:14:20,-75.773,-43.198,20.0,6.1,mw,,,,0.3,194.0,46.0,-105.0,36.0,46.0,-75.0,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1962-11-11T22:14:20,6.0,25.998631074606433,2
1054,1963-03-07T12:16:29,-76.223,-44.267,19.2,6.2,mw,,,,0.36,,,,,,,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise,1963-03-07T12:16:29,6.0,25.998631074606433,2
4223,1973-12-01T17:00:55,-74.549,-35.63,15.0,6.0,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,outer_rise,,outer_rise,1973-12-01T17:00:55,6.0,25.998631074606433,2
5020,1976-08-31T11:10:12,-73.284,-29.682,20.0,5.6,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1976-08-31T11:10:12,5.3,10.001368925393566,3
5057,1976-10-15T02:56:05,-71.873,-27.117,33.0,5.3,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1976-10-15T02:56:05,5.3,10.001368925393566,3
5260,1977-08-14T10:58:11,-71.776,-19.389,33.0,5.5,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1977-08-14T10:58:11,5.3,10.001368925393566,3
5884,1979-11-15T13:36:33,-74.613,-16.112,25.0,5.5,mw,,,17.9,0.2,,,,,,,,,,,,,ISC-GEM,,outer_rise,,outer_rise,1979-11-15T13:36:33,5.3,10.001368925393566,3
6011,1980-05-30T16:56:25,-71.62,-23.08,15.0,5.6,mw,0.03,0.04,0.0,,6.0,32.0,105.0,168.0,60.0,81.0,2.491e+17,6.05e+16,-3.095e+17,4.58e+16,-1.466e+17,2.4e+16,GCMT,,outer_rise,,outer_rise,1980-05-30T16:56:25,5.3,10.001368925393566,3
6018,1980-06-07T06:10:53,-71.732,-23.533,28.0,5.3,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1980-06-07T06:10:53,5.3,10.001368925393566,3
6145,1981-01-07T16:26:47,-71.39,-23.96,15.0,5.6,mw,0.03,0.05,0.0,,5.0,33.0,93.0,181.0,57.0,88.0,2.8370000000000003e+17,5.659999999999999e+16,-3.403e+17,800000000000000.0,-1.417e+17,-2.13e+16,GCMT,,outer_rise,,outer_rise,1981-01-07T16:26:47,5.3,10.001368925393566,3
6240,1981-05-17T17:04:58,-71.831,-27.223,33.0,5.8,mw,,,,,191.0,37.0,-79.0,358.0,54.0,-98.0,-9.022e+16,-4970000000000000.0,9.519e+16,8250000000000000.0,-3.02e+16,8250000000000000.0,USGS,,outer_rise,,outer_rise,1981-05-17T17:04:58,5.3,10.001368925393566,3
6241,1981-05-17T17:05:00,-72.14,-27.39,15.0,5.3,mw,0.09,0.1,0.0,,191.0,37.0,-79.0,358.0,54.0,-98.0,-9.022e+16,-4970000000000000.0,9.519e+16,8250000000000000.0,-3.02e+16,8250000000000000.0,GCMT,,outer_rise,,outer_rise,1981-05-17T17:05:00,5.3,10.001368925393566,3
6242,1981-05-17T22:22:38,-73.475,-25.259,33.0,5.3,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1981-05-17T22:22:38,5.3,10.001368925393566,3
6337,1981-09-18T10:24:10,-71.86,-24.674,33.0,5.3,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1981-09-18T10:24:10,5.3,10.001368925393566,3
6354,1981-10-16T03:25:42,-72.905,-33.136,24.0,6.4,mw,,,,,194.0,34.0,96.0,6.0,56.0,86.0,4.936e+19,-5.75e+18,-4.361e+19,-3e+17,1.967e+19,-7.27e+18,ISC,,outer_rise,,outer_rise,1981-10-16T03:25:42,5.3,10.001368925393566,3
6353,1981-10-16T03:25:47,-73.15,-33.48,40.4,7.5,mw,0.02,0.02,0.8,,194.0,34.0,96.0,6.0,56.0,86.0,4.936e+19,-5.75e+18,-4.361e+19,-3e+17,1.967e+19,-7.27e+18,GCMT,,outer_rise,,outer_rise,1981-10-16T03:25:47,5.3,10.001368925393566,3
6361,1981-10-22T11:39:48,-73.141,-33.257,26.0,5.5,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1981-10-22T11:39:48,5.3,10.001368925393566,3
6387,1981-11-15T08:43:36,-73.455,-17.694,28.0,5.4,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1981-11-15T08:43:36,5.3,10.001368925393566,3
6447,1982-02-25T21:59:43,-73.091,-33.304,53.0,5.6,mw,,,9.6,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1982-02-25T21:59:43,5.3,10.001368925393566,3
6476,1982-04-11T12:59:19,-71.799,-22.162,6.5,5.4,mw,,,4.5,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1982-04-11T12:59:19,5.3,10.001368925393566,3
6747,1983-04-28T05:13:06,-74.161,-16.166,67.7,5.6,mw,,,4.9,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1983-04-28T05:13:06,5.3,10.001368925393566,3
6893,1983-11-12T13:53:34,-74.32,-16.09,99.7,5.4,mw,0.08,0.05,4.1,,149.0,26.0,-105.0,346.0,65.0,-83.0,-1.048e+17,8699999999999998.0,9.6e+16,1.63e+16,-8.72e+16,-4.26e+16,GCMT,,outer_rise,,outer_rise,1983-11-12T13:53:34,5.3,10.001368925393566,3
7112,1984-09-29T05:44:39,-71.772,-22.421,33.0,5.4,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1984-09-29T05:44:39,5.3,10.001368925393566,3
7178,1984-12-03T00:40:31,-71.917,-27.686,10.0,5.4,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1984-12-03T00:40:31,5.3,10.001368925393566,3
7837,1986-01-11T19:48:44,-71.3,-20.142,33.0,5.5,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1986-01-11T19:48:44,5.2,11.000684462696784,4
7853,1986-01-25T01:00:32,-72.177,-23.996,33.0,5.3,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1986-01-25T01:00:32,5.2,11.000684462696784,4
7857,1986-01-26T02:53:22,-72.014,-27.64,10.0,5.4,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1986-01-26T02:53:22,5.2,11.000684462696784,4
7859,1986-01-28T17:42:55,-73.852,-17.281,26.0,5.3,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1986-01-28T17:42:55,5.2,11.000684462696784,4
8044,1986-07-07T23:44:44,-72.138,-28.069,33.0,5.3,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1986-07-07T23:44:44,5.2,11.000684462696784,4
8050,1986-07-15T06:00:25,-74.675,-37.85,33.0,5.5,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1986-07-15T06:00:25,5.2,11.000684462696784,4
8178,1986-11-21T16:24:51,-72.529,-26.209,10.0,5.6,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1986-11-21T16:24:51,5.2,11.000684462696784,4
8195,1986-12-25T17:10:09,-74.992,-38.654,10.0,5.3,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1986-12-25T17:10:09,5.2,11.000684462696784,4
8270,1987-01-27T07:06:55,-72.65,-32.35,15.0,5.5,mw,0.06,0.05,0.0,,28.0,32.0,138.0,156.0,69.0,65.0,1.322e+17,6.44e+16,-1.966e+17,8e+16,-1.294e+17,2300000000000000.0,GCMT,,outer_rise,,outer_rise,1987-01-27T07:06:55,5.2,11.000684462696784,4
8504,1987-03-10T11:48:23,-72.317,-18.636,33.0,5.2,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1987-03-10T11:48:23,5.2,11.000684462696784,4
9258,1987-07-25T16:15:20,-72.79,-31.386,25.0,5.8,mw,,,3.8,0.41,,,,,,,,,,,,,ISC-GEM,,outer_rise,,outer_rise,1987-07-25T16:15:20,5.2,11.000684462696784,4
10573,1988-03-09T21:33:53,-74.91,-17.4,51.3,5.9,mw,0.03,0.03,1.7,,122.0,36.0,-111.0,327.0,57.0,-76.0,-7.195e+17,3.54e+17,3.655e+17,1.387e+17,-3.309e+17,-5.7430000000000006e+17,GCMT,,outer_rise,,outer_rise,1988-03-09T21:33:53,5.2,11.000684462696784,4
10588,1988-03-13T11:31:35,-73.07,-33.82,15.0,5.8,mw,0.04,0.04,0.0,,38.0,28.0,138.0,166.0,72.0,68.0,3.808e+17,1.039e+17,-4.848e+17,1.965e+17,-4.954e+17,-1.2729999999999998e+17,GCMT,,outer_rise,,outer_rise,1988-03-13T11:31:35,5.2,11.000684462696784,4
11532,1988-12-06T00:18:33,-73.089,-17.908,51.1,5.5,mw,,,,,,,,,,,,,,,,,USGS,,outer_rise,,outer_rise,1988-12-06T00:18:33,5.2,11.000684462696784,4
