id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class,time,mc_window,tc_years,mc_window_index,time_dt,is_mainshock,cluster_id
197,1907-06-13T09:18:11,-72.153,-40.055,15.0,6.9,mw,,,25.0,0.28,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1907-06-13T09:18:11,6.8,49.99863107460644,1,1907-06-13 09:18:11+00:00,True,5
258,1922-03-28T03:57:54,-68.0,-21.0,90.0,7.2,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,intraarc_deep,,intraarc,1922-03-28T03:57:54,6.8,49.99863107460644,1,1922-03-28 03:57:54+00:00,True,2
331,1927-11-21T23:12:34,-72.686,-44.861,15.0,7.0,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1927-11-21T23:12:34,6.8,49.99863107460644,1,1927-11-21 23:12:34+00:00,True,4
669,1949-04-25T13:55:00,-69.107,-19.753,69.6,7.2,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,intraarc_deep,,intraarc,1949-04-25T13:55:00,6.8,49.99863107460644,1,1949-04-25 13:55:00+00:00,True,3
729,1953-07-31T22:57:36,-69.905,-34.25,15.0,6.0,mw,,,3.8,0.73,,,,,,,,,,,,,USGS,,intraarc_shallow,,intraarc,1953-07-31T22:57:36,6.0,25.998631074606436,2,1953-07-31 22:57:36+00:00,True,18
767,1955-07-28T01:59:34,-72.026,-40.8,15.0,6.1,mw,,,25.0,0.27,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1955-07-28T01:59:34,6.0,25.998631074606436,2,1955-07-28 01:59:34+00:00,True,14
804,1957-09-06T00:17:55,-68.0,-20.0,100.0,6.0,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,intraarc_deep,,intraarc,1957-09-06T00:17:55,6.0,25.998631074606436,2,1957-09-06 00:17:55+00:00,True,19
835,1958-09-04T21:51:16,-69.958,-33.832,15.0,6.8,mw,,,3.8,0.22,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1958-09-04T21:51:16,6.0,25.998631074606436,2,1958-09-04 21:51:16+00:00,True,6
918,1960-06-02T05:58:07,-74.058,-46.215,15.0,6.1,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1960-06-02T05:58:07,6.0,25.998631074606436,2,1960-06-02 05:58:07+00:00,True,15
922,1960-06-06T05:55:49,-72.889,-45.785,15.0,7.7,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1960-06-06T05:55:49,6.0,25.998631074606436,2,1960-06-06 05:55:49+00:00,True,1
1001,1961-11-09T04:19:42,-67.9,-22.9,84.0,6.3,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,intraarc_deep,,intraarc,1961-11-09T04:19:42,6.0,25.998631074606436,2,1961-11-09 04:19:42+00:00,True,9
1035,1962-09-29T05:21:50,-68.0,-20.0,26.0,6.0,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,intraarc_shallow,,intraarc,1962-09-29T05:21:50,6.0,25.998631074606436,2,1962-09-29 05:21:50+00:00,True,20
1607,1965-11-28T03:56:47,-72.958,-45.847,25.0,6.2,mw,,,25.0,0.3,22.0,58.0,-162.0,282.0,75.0,-33.0,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1965-11-28T03:56:47,6.0,25.998631074606436,2,1965-11-28 03:56:47+00:00,True,13
4189,1973-11-03T14:17:41,-67.613,-25.974,17.5,6.0,mw,,,25.0,0.3,31.0,52.0,148.0,142.0,65.0,43.0,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1973-11-03T14:17:41,6.0,25.998631074606436,2,1973-11-03 14:17:41+00:00,True,21
4928,1976-02-24T18:10:34,-69.44,-27.04,48.0,5.6,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_deep,,intraarc,1976-02-24T18:10:34,5.3,10.001368925393566,3,1976-02-24 18:10:34+00:00,True,32
5001,1976-07-31T07:27:08,-68.283,-24.772,70.0,5.6,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_deep,,intraarc,1976-07-31T07:27:08,5.3,10.001368925393566,3,1976-07-31 07:27:08+00:00,True,33
5078,1976-11-30T00:40:59,-68.76,-20.443,78.0,6.7,mw,,,,,181.0,27.0,-73.0,342.0,64.0,-99.0,-1.79e+20,-3.5e+19,2.14e+20,5.500000000000001e+19,-1.42e+20,-4.4e+19,ISC,,intraarc_deep,,intraarc,1976-11-30T00:40:59,5.3,10.001368925393566,3,1976-11-30 00:40:59+00:00,True,7
5114,1976-12-28T13:51:57,-68.478,-21.305,75.0,6.1,mw,,,5.0,0.39,,,,,,,,,,,,,ISC-GEM,,intraarc_deep,,intraarc,1976-12-28T13:51:57,5.3,10.001368925393566,3,1976-12-28 13:51:57+00:00,True,16
5178,1977-05-09T12:19:08,-68.364,-22.031,80.0,5.4,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_deep,,intraarc,1977-05-09T12:19:08,5.3,10.001368925393566,3,1977-05-09 12:19:08+00:00,True,47
5228,1977-06-30T11:13:36,-69.627,-27.161,46.0,5.6,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_deep,,intraarc,1977-06-30T11:13:36,5.3,10.001368925393566,3,1977-06-30 11:13:36+00:00,True,34
5252,1977-08-03T14:27:31,-69.375,-31.612,20.0,5.3,mw,,,4.7,0.2,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1977-08-03T14:27:31,5.3,10.001368925393566,3,1977-08-03 14:27:31+00:00,True,69
5287,1977-09-21T02:59:06,-67.624,-26.448,15.0,5.4,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1977-09-21T02:59:06,5.3,10.001368925393566,3,1977-09-21 02:59:06+00:00,True,48
5393,1977-11-28T18:40:17,-69.084,-32.032,86.0,5.9,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_deep,,intraarc,1977-11-28T18:40:17,5.3,10.001368925393566,3,1977-11-28 18:40:17+00:00,True,24
5519,1978-05-10T23:06:01,-68.858,-29.917,33.0,5.4,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_shallow,,intraarc,1978-05-10T23:06:01,5.3,10.001368925393566,3,1978-05-10 23:06:01+00:00,True,49
5575,1978-07-31T11:34:35,-68.291,-21.861,69.0,5.7,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_deep,,intraarc,1978-07-31T11:34:35,5.3,10.001368925393566,3,1978-07-31 11:34:35+00:00,True,29
5603,1978-09-25T08:56:42,-68.482,-19.541,90.0,5.3,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_deep,,intraarc,1978-09-25T08:56:42,5.3,10.001368925393566,3,1978-09-25 08:56:42+00:00,True,70
5610,1978-10-11T01:22:00,-70.158,-34.287,10.0,5.5,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_shallow,,intraarc,1978-10-11T01:22:00,5.3,10.001368925393566,3,1978-10-11 01:22:00+00:00,True,42
5623,1978-11-08T07:18:03,-68.387,-21.022,80.0,5.6,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_deep,,intraarc,1978-11-08T07:18:03,5.3,10.001368925393566,3,1978-11-08 07:18:03+00:00,True,35
5625,1978-11-10T12:18:56,-69.24,-17.856,88.0,5.6,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_deep,,intraarc,1978-11-10T12:18:56,5.3,10.001368925393566,3,1978-11-10 12:18:56+00:00,True,36
5792,1979-06-13T17:55:17,-66.845,-23.275,10.0,5.4,mw,,,,,,,,,,,,,,,,,ISC,,intraarc_shallow,,intraarc,1979-06-13T17:55:17,5.3,10.001368925393566,3,1979-06-13 17:55:17+00:00,True,50
5922,1980-01-14T21:51:08,-69.42,-33.27,15.0,5.6,mw,0.07,0.06,0.0,,141.0,69.0,5.0,49.0,85.0,159.0,-1.31e+16,2.734e+17,-2.6030000000000003e+17,1.078e+17,3.83e+16,-4.49e+16,GCMT,,intraarc_shallow,,intraarc,1980-01-14T21:51:08,5.3,10.001368925393566,3,1980-01-14 21:51:08+00:00,True,37
5934,1980-01-30T14:49:55,-70.713,-39.226,35.0,5.4,mw,,,,,,,,,,,,,,,,,ISC,,intraarc_shallow,,intraarc,1980-01-30T14:49:55,5.3,10.001368925393566,3,1980-01-30 14:49:55+00:00,True,51
5943,1980-02-24T13:17:15,-68.655,-21.39,33.0,5.7,mw,,,,,,,,,,,,,,,,,USGS,,intraarc_shallow,,intraarc,1980-02-24T13:17:15,5.3,10.001368925393566,3,1980-02-24 13:17:15+00:00,True,30
6136,1980-12-22T11:05:24,-69.76,-17.111,12.3,5.3,mw,,,14.3,0.26,,,,,,,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc,1980-12-22T11:05:24,5.3,10.001368925393566,3,1980-12-22 11:05:24+00:00,True,71
6270,1981-06-16T05:41:49,-68.337,-21.486,76.1,5.8,mw,,,3.8,,118.0,40.0,-128.0,344.0,59.0,-62.0,-1.2430000000000002e+17,3.1e+16,9.33e+16,-700000000000000.0,-7.019999999999999e+16,-1.165e+17,USGS,,intraarc_deep,,intraarc,1981-06-16T05:41:49,5.3,10.001368925393566,3,1981-06-16 05:41:49+00:00,True,28
6373,1981-11-01T12:03:46,-68.546,-28.505,51.1,5.3,mw,,,4.6,,,,,,,,,,,,,,USGS,,intraarc_deep,,intraarc,1981-11-01T12:03:46,5.3,10.001368925393566,3,1981-11-01 12:03:46+00:00,True,72
6568,1982-09-13T16:36:17,-68.035,-23.907,32.1,5.4,mw,,,6.4,,,,,,,,,,,,,,USGS,,intraarc_shallow,,intraarc,1982-09-13T16:36:17,5.3,10.001368925393566,3,1982-09-13 16:36:17+00:00,True,52
6664,1982-12-31T03:47:34,-67.8,-20.53,10.1,6.0,mw,0.09,0.12,0.0,,340.0,11.0,130.0,119.0,82.0,83.0,4.358e+17,-9.05e+16,-3.453e+17,9.568e+17,-4.646e+17,3.44e+16,GCMT,,intraarc_shallow,,intraarc,1982-12-31T03:47:34,5.3,10.001368925393566,3,1982-12-31 03:47:34+00:00,True,22
