id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class,time,mc_window,tc_years,mc_window_index,time_dt,is_mainshock,cluster_id
181,1902-03-05T19:03:00,-70.0,-20.0,52.67,6.8,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,slab_deep,52.5618515015,slab_deep,1902-03-05T19:03:00,6.8,49.99863107460644,1,1902-03-05 19:03:00+00:00,True,37
183,1903-12-07T14:44:00,-70.0,-27.0,68.22,6.8,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,slab_deep,68.0207214355,slab_deep,1903-12-07T14:44:00,6.8,49.99863107460644,1,1903-12-07 14:44:00+00:00,True,38
186,1905-10-26T00:00:00,-70.75,-34.17,80.05,6.8,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,slab_deep,79.7492141724,slab_deep,1905-10-26T00:00:00,6.8,49.99863107460644,1,1905-10-26 00:00:00+00:00,True,39
222,1915-06-06T21:29:37,-68.5,-18.5,160.0,7.5,mw,,,,,,,,,,,,,,,,,ISC,,slab_deep,140.655349731,slab_deep,1915-06-06T21:29:37,6.8,49.99863107460644,1,1915-06-06 21:29:37+00:00,True,5
228,1916-12-23T09:24:34,-69.642,-22.762,75.0,6.8,mw,,,21.4,0.2,,,,,,,,,,,,,ISC-GEM,,slab_deep,56.9580230713,slab_deep,1916-12-23T09:24:34,6.8,49.99863107460644,1,1916-12-23 09:24:34+00:00,True,40
255,1921-10-20T06:03:23,-68.77,-19.87,117.0,7.2,mw,,,,,,,,,,,,,,,,,ISC,,slab_deep,101.443992615,slab_deep,1921-10-20T06:03:23,6.8,49.99863107460644,1,1921-10-20 06:03:23+00:00,True,9
260,1922-10-11T14:49:57,-72.705,-16.287,75.0,7.2,mw,,,23.6,0.47,,,,,,,,,,,,,ISC-GEM,,slab_deep,66.5761795044,slab_deep,1922-10-11T14:49:57,6.8,49.99863107460644,1,1922-10-11 14:49:57+00:00,True,10
296,1926-04-28T11:13:45,-68.051,-22.556,90.0,6.8,mw,,,,,,,,,,,,,,,,,ISC,,slab_deep,104.379135132,slab_deep,1926-04-28T11:13:45,6.8,49.99863107460644,1,1926-04-28 11:13:45+00:00,True,41
318,1927-04-14T06:23:39,-69.396,-32.526,110.0,7.2,mw,,,,,,,,,,,,,,,,,ISC,,slab_deep,105.51890564,slab_deep,1927-04-14T06:23:39,6.8,49.99863107460644,1,1927-04-14 06:23:39+00:00,True,11
380,1929-10-19T10:12:00,-69.0,-23.0,100.0,7.5,mw,,,,,,,,,,,,,,,,,CERESIS-GEM,,slab_deep,76.9564666748,slab_deep,1929-10-19T10:12:00,6.8,49.99863107460644,1,1929-10-19 10:12:00+00:00,True,6
461,1933-10-25T23:28:15,-66.428,-23.647,205.0,7.0,mw,,,,,,,,,,,,,,,,,ISC,,slab_deep,188.850082397,slab_deep,1933-10-25T23:28:15,6.8,49.99863107460644,1,1933-10-25 23:28:15+00:00,True,19
480,1934-06-24T05:59:34,-68.6,-22.0,100.0,6.9,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,slab_deep,89.9944152832,slab_deep,1934-06-24T05:59:34,6.8,49.99863107460644,1,1934-06-24 05:59:34+00:00,True,28
510,1936-03-01T20:45:00,-72.5,-40.0,120.0,7.0,mw,,,,,,,,,,,,,,,,,CSN-improved,,slab_deep,84.712348938,slab_deep,1936-03-01T20:45:00,6.8,49.99863107460644,1,1936-03-01 20:45:00+00:00,True,20
552,1939-01-24T03:32:15,-72.213,-36.296,100.0,8.0,mw,,,6.2,0.2,,,,,,,,,,,,,ISC-GEM,,slab_deep,59.1176147461,slab_deep,1939-01-24T03:32:15,6.8,49.99863107460644,1,1939-01-24 03:32:15+00:00,True,1
581,1940-10-06T15:35:42,-70.4,-17.8,200.0,6.8,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,slab_deep,81.8183059692,slab_deep,1940-10-06T15:35:42,6.8,49.99863107460644,1,1940-10-06 15:35:42+00:00,True,42
587,1941-04-03T15:21:34,-66.588,-23.121,200.0,7.2,mw,,,,,,,,,,,,,,,,,ISC,,slab_deep,182.921676636,slab_deep,1941-04-03T15:21:34,6.8,49.99863107460644,1,1941-04-03 15:21:34+00:00,True,12
596,1942-06-29T06:26:40,-70.238,-33.037,95.0,6.8,mw,,,,,,,,,,,,,,,,,ISC,,slab_deep,87.3247299194,slab_deep,1942-06-29T06:26:40,6.8,49.99863107460644,1,1942-06-29 06:26:40+00:00,True,43
607,1943-03-14T18:38:03,-68.967,-19.671,120.0,7.2,mw,,,,,,,,,,,,,,,,,ISC,,slab_deep,96.6078491211,slab_deep,1943-03-14T18:38:03,6.8,49.99863107460644,1,1943-03-14 18:38:03+00:00,True,13
620,1943-12-01T10:34:50,-68.856,-20.733,114.0,6.9,mw,,,,,,,,,,,,,,,,,ISC,,slab_deep,89.2919616699,slab_deep,1943-12-01T10:34:50,6.8,49.99863107460644,1,1943-12-01 10:34:50+00:00,True,29
631,1945-09-13T11:17:14,-70.418,-33.757,92.0,7.0,mw,,,,,,,,,,,,,,,,,ISC,,slab_deep,87.2664642334,slab_deep,1945-09-13T11:17:14,6.8,49.99863107460644,1,1945-09-13 11:17:14+00:00,True,21
668,1949-04-20T03:29:10,-72.713,-37.634,57.7,7.0,mw,,,5.9,0.33,,,,,,,,,,,,,ISC-GEM,,slab_deep,51.0705833435,slab_deep,1949-04-20T03:29:10,6.8,49.99863107460644,1,1949-04-20 03:29:10+00:00,True,22
671,1949-05-30T01:32:53,-68.408,-20.581,98.0,7.0,mw,,,,,,,,,,,,,,,,,ISC,,slab_deep,105.649337769,slab_deep,1949-05-30T01:32:53,6.8,49.99863107460644,1,1949-05-30 01:32:53+00:00,True,23
683,1950-03-05T18:01:23,-68.7,-22.1,160.0,6.2,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,slab_deep,86.9344100952,slab_deep,1950-03-05T18:01:23,5.9,25.998631074606436,2,1950-03-05 18:01:23+00:00,True,114
691,1950-12-09T21:38:52,-67.912,-23.977,113.9,8.0,mw,,,6.0,0.4,,,,,,,,,,,,,ISC-GEM,,slab_deep,101.773658752,slab_deep,1950-12-09T21:38:52,5.9,25.998631074606436,2,1950-12-09 21:38:52+00:00,True,2
693,1950-12-21T11:36:48,-71.0,-29.5,100.0,6.2,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,slab_deep,51.5293807983,slab_deep,1950-12-21T11:36:48,5.9,25.998631074606436,2,1950-12-21 11:36:48+00:00,True,115
