id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class,time,mc_window,tc_years,mc_window_index,time_dt,is_mainshock,cluster_id
245,1920-08-03T19:57:22,-67.867,-27.475,15.0,7.0,mw,,,25.0,0.21,,,,,,,,,,,,,ISC-GEM,,backarc,,unclassified,1920-08-03T19:57:22,6.8,49.99863107460644,1,1920-08-03 19:57:22+00:00,True,3
622,1944-01-15T23:49:31,-68.491,-31.496,15.0,6.9,mw,,,3.3,0.3,45.0,35.0,110.0,201.0,57.0,77.0,,,,,,,ISC-GEM,,backarc,,unclassified,1944-01-15T23:49:31,6.8,49.99863107460644,1,1944-01-15 23:49:31+00:00,True,5
678,1949-12-17T06:53:32,-71.0,-54.0,10.0,8.0,mw,,,25.0,0.25,,,,,,,,,,,,,ISC-GEM,,backarc,,unclassified,1949-12-17T06:53:32,6.8,49.99863107460644,1,1949-12-17 06:53:32+00:00,True,1
716,1952-06-11T00:31:44,-68.483,-31.672,25.0,6.8,mw,,,7.8,0.3,40.0,75.0,30.0,301.0,61.0,163.0,,,,,,,ISC-GEM,,backarc,,unclassified,1952-06-11T00:31:44,6.0,25.99863107460644,2,1952-06-11 00:31:44+00:00,True,6
805,1957-10-24T20:07:21,-68.0,-28.9,37.0,6.1,mw,,,,0.17,,,,,,,,,,,,,CERESIS-GEM,,backarc,,unclassified,1957-10-24T20:07:21,6.0,25.99863107460644,2,1957-10-24 20:07:21+00:00,True,14
828,1958-09-01T14:30:46,-65.0,-18.0,33.0,6.1,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,backarc,,unclassified,1958-09-01T14:30:46,6.0,25.99863107460644,2,1958-09-01 14:30:46+00:00,True,15
848,1959-04-08T11:44:30,-72.666,-50.612,15.0,6.1,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,backarc,,unclassified,1959-04-08T11:44:30,6.0,25.99863107460644,2,1959-04-08 11:44:30+00:00,True,16
900,1960-05-23T07:09:23,-75.698,-48.089,20.0,6.1,mw,,,,0.37,,,,,,,,,,,,,CERESIS-GEM,,unclassified,,unclassified,1960-05-23T07:09:23,6.0,25.99863107460644,2,1960-05-23 07:09:23+00:00,True,17
1017,1962-05-25T21:28:28,-65.2,-24.3,69.0,6.2,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,backarc,,unclassified,1962-05-25T21:28:28,6.0,25.99863107460644,2,1962-05-25 21:28:28+00:00,True,12
1072,1963-05-19T01:03:06,-75.302,-46.525,20.0,6.4,mw,,,,0.4,,,,,,,,,,,,,CERESIS-GEM,,unclassified,,unclassified,1963-05-19T01:03:06,6.0,25.99863107460644,2,1963-05-19 01:03:06+00:00,True,10
3025,1970-06-14T00:00:11,-74.07,-52.028,15.0,7.0,mw,,,25.0,0.25,,,,,,,,,,,,,ISC-GEM,,unclassified,,unclassified,1970-06-14T00:00:11,6.0,25.99863107460644,2,1970-06-14 00:00:11+00:00,True,4
3670,1972-09-26T21:05:46,-68.208,-30.957,15.0,6.0,mw,,,3.2,0.3,1.0,39.0,81.0,192.0,51.0,97.0,,,,,,,ISC-GEM,,backarc,,unclassified,1972-09-26T21:05:46,6.0,25.99863107460644,2,1972-09-26 21:05:46+00:00,True,22
4247,1974-01-07T16:35:56,-65.684,-26.904,10.0,6.0,mw,,,25.0,0.69,,,,,,,,,,,,,ISC-GEM,,backarc,,unclassified,1974-01-07T16:35:56,6.0,25.99863107460644,2,1974-01-07 16:35:56+00:00,True,23
4893,1975-12-29T03:39:44,-68.679,-56.885,15.0,6.5,mw,,,25.0,0.3,167.0,75.0,90.0,347.0,15.0,90.0,,,,,,,ISC-GEM,,backarc,,unclassified,1975-12-29T03:39:44,6.0,25.99863107460644,2,1975-12-29 03:39:44+00:00,True,8
4925,1976-02-22T08:09:20,-65.285,-18.374,15.0,5.4,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,backarc,,unclassified,1976-02-22T08:09:20,5.3,10.001368925393566,3,1976-02-22 08:09:20+00:00,True,57
5112,1976-12-24T08:56:15,-74.888,-45.551,33.0,5.7,mw,,,,,,,,,,,,,,,,,USGS,,unclassified,,unclassified,1976-12-24T08:56:15,5.3,10.001368925393566,3,1976-12-24 08:56:15+00:00,True,32
5132,1977-01-25T00:50:50,-68.377,-33.597,15.8,5.3,mw,,,3.7,0.2,180.0,45.0,147.0,295.0,67.0,50.0,,,,,,,ISC-GEM,,backarc,,unclassified,1977-01-25T00:50:50,5.3,10.001368925393566,3,1977-01-25 00:50:50+00:00,True,75
5174,1977-04-17T02:41:17,-68.739,-33.293,29.8,5.3,mw,,,4.6,0.26,,,,,,,,,,,,,ISC-GEM,,backarc,,unclassified,1977-04-17T02:41:17,5.3,10.001368925393566,3,1977-04-17 02:41:17+00:00,True,76
5302,1977-10-15T14:15:06,-70.515,-53.973,33.0,5.3,mw,,,,,,,,,,,,,,,,,USGS,,backarc,,unclassified,1977-10-15T14:15:06,5.3,10.001368925393566,3,1977-10-15 14:15:06+00:00,True,77
5327,1977-11-23T09:26:48,-67.69,-31.22,20.8,7.5,mw,0.01,0.01,0.4,,183.0,44.0,90.0,4.0,46.0,90.0,1.855e+20,8e+17,-1.863e+20,1.3e+18,6.5e+18,-1.19e+19,GCMT,,backarc,,unclassified,1977-11-23T09:26:48,5.3,10.001368925393566,3,1977-11-23 09:26:48+00:00,True,2
5395,1977-11-28T04:19:39,-68.21,-32.02,33.1,5.6,mw,0.08,0.09,5.5,,150.0,52.0,27.0,43.0,69.0,139.0,1.298e+17,1.472e+17,-2.77e+17,1.333e+17,5.460000000000001e+16,-5.27e+16,GCMT,,backarc,,unclassified,1977-11-28T04:19:39,5.3,10.001368925393566,3,1977-11-28 04:19:39+00:00,True,37
5435,1977-12-26T10:47:52,-66.653,-27.638,42.0,5.4,mw,,,,,,,,,,,,,,,,,USGS,,backarc,,unclassified,1977-12-26T10:47:52,5.3,10.001368925393566,3,1977-12-26 10:47:52+00:00,True,58
5446,1978-01-13T01:21:02,-65.813,-27.585,30.0,5.4,mw,,,4.7,0.4,,,,,,,,,,,,,ISC-GEM,,backarc,,unclassified,1978-01-13T01:21:02,5.3,10.001368925393566,3,1978-01-13 01:21:02+00:00,True,59
5545,1978-06-07T15:16:45,-67.519,-32.049,25.0,5.5,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,backarc,,unclassified,1978-06-07T15:16:45,5.3,10.001368925393566,3,1978-06-07 15:16:45+00:00,True,42
5670,1979-01-29T03:22:45,-68.645,-31.228,10.0,5.5,mw,,,,,,,,,,,,,,,,,USGS,,backarc,,unclassified,1979-01-29T03:22:45,5.3,10.001368925393566,3,1979-01-29 03:22:45+00:00,True,43
5791,1979-06-06T10:54:26,-74.65,-52.93,15.0,5.6,mw,0.1,0.06,0.0,,7.0,8.0,104.0,173.0,82.0,88.0,7.86e+16,-6100000000000000.0,-7.24e+16,3.4200000000000004e+16,-2.56e+17,-1200000000000000.0,GCMT,,unclassified,,unclassified,1979-06-06T10:54:26,5.3,10.001368925393566,3,1979-06-06 10:54:26+00:00,True,38
5842,1979-08-28T17:12:47,-69.294,-34.967,10.0,5.4,mw,,,25.0,0.2,,,,,,,,,,,,,ISC-GEM,,backarc,,unclassified,1979-08-28T17:12:47,5.3,10.001368925393566,3,1979-08-28 17:12:47+00:00,True,60
5903,1979-12-24T00:13:41,-66.958,-29.646,49.0,5.8,mw,,,,,,,,,,,,,,,,,USGS,,backarc,,unclassified,1979-12-24T00:13:41,5.3,10.001368925393566,3,1979-12-24 00:13:41+00:00,True,29
6109,1980-11-10T16:24:40,-67.468,-31.576,21.0,6.1,mw,,,,,133.0,31.0,49.0,358.0,67.0,111.0,2.53e+17,-4.24e+16,-2.106e+17,6.35e+16,2.415e+17,1.167e+17,USGS,,backarc,,unclassified,1980-11-10T16:24:40,5.3,10.001368925393566,3,1980-11-10 16:24:40+00:00,True,18
6507,1982-06-01T09:37:25,-70.341,-42.874,33.0,5.8,mw,,,,,,,,,,,,,,,,,USGS,,backarc,,unclassified,1982-06-01T09:37:25,5.3,10.001368925393566,3,1982-06-01 09:37:25+00:00,True,30
6515,1982-06-11T14:03:12,-67.714,-27.934,33.0,5.3,mw,,,,,,,,,,,,,,,,,USGS,,backarc,,unclassified,1982-06-11T14:03:12,5.3,10.001368925393566,3,1982-06-11 14:03:12+00:00,True,78
6527,1982-06-28T01:19:48,-66.443,-28.462,32.1,5.4,mw,,,4.2,,,,,,,,,,,,,,USGS,,backarc,,unclassified,1982-06-28T01:19:48,5.3,10.001368925393566,3,1982-06-28 01:19:48+00:00,True,61
6726,1983-04-02T05:58:40,-66.13,-29.02,40.1,5.3,mw,0.14,0.1,7.9,,247.0,25.0,137.0,17.0,73.0,71.0,5.178e+16,-1.879e+16,-3.299e+16,1.658e+16,7.784e+16,-4.41e+16,GCMT,,backarc,,unclassified,1983-04-02T05:58:40,5.3,10.001368925393566,3,1983-04-02 05:58:40+00:00,True,79
6999,1984-05-02T06:14:14,-69.146,-34.897,23.0,5.3,mw,,,,,,,,,,,,,,,,,ISC,,backarc,,unclassified,1984-05-02T06:14:14,5.3,10.001368925393566,3,1984-05-02 06:14:14+00:00,True,80
7229,1985-01-26T03:06:58,-68.467,-33.053,5.0,6.2,mw,,,,,158.0,38.0,65.0,9.0,56.0,108.0,8.699999999999999e+17,1.161e+17,-9.861e+17,2.094e+17,3.349e+17,1.172e+17,USGS,,backarc,,unclassified,1985-01-26T03:06:58,5.3,10.001368925393566,3,1985-01-26 03:06:58+00:00,True,13
7982,1986-05-09T16:23:59,-65.49,-16.76,15.0,5.9,mw,0.03,0.03,0.0,,151.0,39.0,88.0,334.0,51.0,92.0,6.722e+17,-6.1e+16,-6.112e+17,-5.689999999999999e+16,1.397e+17,3.855e+17,GCMT,,backarc,,unclassified,1986-05-09T16:23:59,5.2,11.000684462696784,4,1986-05-09 16:23:59+00:00,True,26
7990,1986-05-14T04:30:25,-65.485,-17.255,47.9,5.3,mw,,,10.8,,,,,,,,,,,,,,USGS,,backarc,,unclassified,1986-05-14T04:30:25,5.2,11.000684462696784,4,1986-05-14 04:30:25+00:00,True,81
8083,1986-08-11T22:06:49,-67.76,-31.19,26.5,5.4,mw,0.07,0.06,5.5,,187.0,49.0,167.0,285.0,80.0,41.0,2.675e+16,2.631e+16,-5.305e+16,-8.654e+16,530000000000000.0,9.006e+16,GCMT,,backarc,,unclassified,1986-08-11T22:06:49,5.2,11.000684462696784,4,1986-08-11 22:06:49+00:00,True,62
8111,1986-09-10T17:03:34,-71.29,-50.24,33.0,5.4,mw,,,,,,,,,,,,,,,,,USGS,,backarc,,unclassified,1986-09-10T17:03:34,5.2,11.000684462696784,4,1986-09-10 17:03:34+00:00,True,63
9079,1987-06-29T01:51:43,-71.973,-51.736,10.0,5.4,mw,,,,,,,,,,,,,,,,,USGS,,backarc,,unclassified,1987-06-29T01:51:43,5.2,11.000684462696784,4,1987-06-29 01:51:43+00:00,True,64
