=== TOTAL CATALOG ===
original_events	65693
filtered_events	23390

=== PER TIME WINDOW (all classes) ===
window_index	start_iso	end_iso	N_orig	N_filtered
0	1513-01-01T00:00:00	1900-01-01T00:00:00	160	15
1	1900-01-01T00:00:00	1950-01-01T00:00:00	434	82
2	1950-01-01T00:00:00	1976-01-01T00:00:00	3821	234
3	1976-01-01T00:00:00	1986-01-01T00:00:00	2698	929
4	1986-01-01T00:00:00	1997-01-01T00:00:00	7283	1127
5	1997-01-01T00:00:00	2002-01-01T00:00:00	3769	507
6	2001-01-01T00:00:00	2007-01-01T00:00:00	8449	2469
7	2007-01-01T00:00:00	2010-01-01T00:00:00	4646	1293
8	2010-01-01T00:00:00	2013-01-01T00:00:00	10566	3232
9	2014-01-01T00:00:00	2016-01-01T00:00:00	6720	3574
10	2016-01-01T00:00:00	2022-12-30T21:37:14	15241	8022

=== PER CLASS (overall) ===
class	N_orig	N_filtered
forearc	3621	1084
intra_slab	5795	2166
intraarc	1917	473
outer_rise	1980	727
slab_deep	29314	10819
slab_interface	21001	7439
unclassified	2065	682

=== PER CLASS AND TIME WINDOW ===
class	window_index	start_iso	end_iso	N_orig	N_filtered
forearc	0	1513-01-01T00:00:00	1900-01-01T00:00:00	11	1
forearc	1	1900-01-01T00:00:00	1950-01-01T00:00:00	39	11
forearc	2	1950-01-01T00:00:00	1976-01-01T00:00:00	191	29
forearc	3	1976-01-01T00:00:00	1986-01-01T00:00:00	83	36
forearc	4	1986-01-01T00:00:00	1997-01-01T00:00:00	474	56
forearc	5	1997-01-01T00:00:00	2002-01-01T00:00:00	202	6
forearc	6	2001-01-01T00:00:00	2007-01-01T00:00:00	563	149
forearc	7	2007-01-01T00:00:00	2010-01-01T00:00:00	241	46
forearc	8	2010-01-01T00:00:00	2013-01-01T00:00:00	906	232
forearc	9	2014-01-01T00:00:00	2016-01-01T00:00:00	257	144
forearc	10	2016-01-01T00:00:00	2022-12-30T21:37:14	545	265
intra_slab	0	1513-01-01T00:00:00	1900-01-01T00:00:00	3	1
intra_slab	1	1900-01-01T00:00:00	1950-01-01T00:00:00	13	0
intra_slab	2	1950-01-01T00:00:00	1976-01-01T00:00:00	295	12
intra_slab	3	1976-01-01T00:00:00	1986-01-01T00:00:00	318	112
intra_slab	4	1986-01-01T00:00:00	1997-01-01T00:00:00	840	185
intra_slab	5	1997-01-01T00:00:00	2002-01-01T00:00:00	471	75
intra_slab	6	2001-01-01T00:00:00	2007-01-01T00:00:00	661	254
intra_slab	7	2007-01-01T00:00:00	2010-01-01T00:00:00	253	109
intra_slab	8	2010-01-01T00:00:00	2013-01-01T00:00:00	966	346
intra_slab	9	2014-01-01T00:00:00	2016-01-01T00:00:00	720	401
intra_slab	10	2016-01-01T00:00:00	2022-12-30T21:37:14	1108	524
intraarc	0	1513-01-01T00:00:00	1900-01-01T00:00:00	1	0
intraarc	1	1900-01-01T00:00:00	1950-01-01T00:00:00	14	4
intraarc	2	1950-01-01T00:00:00	1976-01-01T00:00:00	133	10
intraarc	3	1976-01-01T00:00:00	1986-01-01T00:00:00	93	42
intraarc	4	1986-01-01T00:00:00	1997-01-01T00:00:00	301	31
intraarc	5	1997-01-01T00:00:00	2002-01-01T00:00:00	165	18
intraarc	6	2001-01-01T00:00:00	2007-01-01T00:00:00	346	62
intraarc	7	2007-01-01T00:00:00	2010-01-01T00:00:00	332	77
intraarc	8	2010-01-01T00:00:00	2013-01-01T00:00:00	241	68
intraarc	9	2014-01-01T00:00:00	2016-01-01T00:00:00	55	31
intraarc	10	2016-01-01T00:00:00	2022-12-30T21:37:14	189	83
outer_rise	0	1513-01-01T00:00:00	1900-01-01T00:00:00	1	0
outer_rise	1	1900-01-01T00:00:00	1950-01-01T00:00:00	22	6
outer_rise	2	1950-01-01T00:00:00	1976-01-01T00:00:00	93	14
outer_rise	3	1976-01-01T00:00:00	1986-01-01T00:00:00	56	21
outer_rise	4	1986-01-01T00:00:00	1997-01-01T00:00:00	185	33
outer_rise	5	1997-01-01T00:00:00	2002-01-01T00:00:00	80	14
outer_rise	6	2001-01-01T00:00:00	2007-01-01T00:00:00	280	60
outer_rise	7	2007-01-01T00:00:00	2010-01-01T00:00:00	66	8
outer_rise	8	2010-01-01T00:00:00	2013-01-01T00:00:00	471	167
outer_rise	9	2014-01-01T00:00:00	2016-01-01T00:00:00	246	143
outer_rise	10	2016-01-01T00:00:00	2022-12-30T21:37:14	422	203
slab_deep	0	1513-01-01T00:00:00	1900-01-01T00:00:00	90	0
slab_deep	1	1900-01-01T00:00:00	1950-01-01T00:00:00	222	24
slab_deep	2	1950-01-01T00:00:00	1976-01-01T00:00:00	2083	77
slab_deep	3	1976-01-01T00:00:00	1986-01-01T00:00:00	1423	409
slab_deep	4	1986-01-01T00:00:00	1997-01-01T00:00:00	3305	515
slab_deep	5	1997-01-01T00:00:00	2002-01-01T00:00:00	1678	244
slab_deep	6	2001-01-01T00:00:00	2007-01-01T00:00:00	3867	1207
slab_deep	7	2007-01-01T00:00:00	2010-01-01T00:00:00	2481	719
slab_deep	8	2010-01-01T00:00:00	2013-01-01T00:00:00	2973	809
slab_deep	9	2014-01-01T00:00:00	2016-01-01T00:00:00	2234	1188
slab_deep	10	2016-01-01T00:00:00	2022-12-30T21:37:14	7934	4603
slab_interface	0	1513-01-01T00:00:00	1900-01-01T00:00:00	51	13
slab_interface	1	1900-01-01T00:00:00	1950-01-01T00:00:00	102	34
slab_interface	2	1950-01-01T00:00:00	1976-01-01T00:00:00	910	78
slab_interface	3	1976-01-01T00:00:00	1986-01-01T00:00:00	526	214
slab_interface	4	1986-01-01T00:00:00	1997-01-01T00:00:00	1910	268
slab_interface	5	1997-01-01T00:00:00	2002-01-01T00:00:00	1006	132
slab_interface	6	2001-01-01T00:00:00	2007-01-01T00:00:00	2419	637
slab_interface	7	2007-01-01T00:00:00	2010-01-01T00:00:00	1162	313
slab_interface	8	2010-01-01T00:00:00	2013-01-01T00:00:00	4779	1556
slab_interface	9	2014-01-01T00:00:00	2016-01-01T00:00:00	3118	1623
slab_interface	10	2016-01-01T00:00:00	2022-12-30T21:37:14	4556	2109
unclassified	0	1513-01-01T00:00:00	1900-01-01T00:00:00	3	0
unclassified	1	1900-01-01T00:00:00	1950-01-01T00:00:00	22	3
unclassified	2	1950-01-01T00:00:00	1976-01-01T00:00:00	116	14
unclassified	3	1976-01-01T00:00:00	1986-01-01T00:00:00	199	95
unclassified	4	1986-01-01T00:00:00	1997-01-01T00:00:00	268	39
unclassified	5	1997-01-01T00:00:00	2002-01-01T00:00:00	167	18
unclassified	6	2001-01-01T00:00:00	2007-01-01T00:00:00	313	100
unclassified	7	2007-01-01T00:00:00	2010-01-01T00:00:00	111	21
unclassified	8	2010-01-01T00:00:00	2013-01-01T00:00:00	230	54
unclassified	9	2014-01-01T00:00:00	2016-01-01T00:00:00	90	44
unclassified	10	2016-01-01T00:00:00	2022-12-30T21:37:14	487	235
