id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class
356,1928/12/01,-72.9,-35.5,40,8.1,mw,,,7.3,0.4,20,25,80,211,65,95,,,,,,,ISC-GEM,,slab_interface,24.5710220337,slab_interface
622,1944/01/15,-68.491,-31.496,15,6.9,mw,,,3.3,0.3,45,35,110,201,57,77,,,,,,,ISC-GEM,,backarc,,unclassified
716,1952/06/11,-68.483,-31.672,25,6.8,mw,,,7.8,0.3,40,75,30,301,61,163,,,,,,,ISC-GEM,,backarc,,unclassified
890,1960/05/22,-73.407,-38.143,25,9.5,mw,,,4.2,0.25,10,17,105,170,79,90,,,,,,,ISC-GEM,,slab_interface,31.6881771088,slab_interface
1009,1962/02/14,-72.885,-37.845,30,7.2,mw,,,4.5,0.2,20,18,124,165,75,80,,,,,,,ISC-GEM,,slab_interface,44.9004974365,slab_interface
1011,1962/02/27,-73.053,-37.732,25,6.2,mw,,,19.3,0.2,18,22,116,170,70,80,,,,,,,ISC-GEM,,slab_interface,39.2277450562,slab_interface
1039,1962/11/11,-75.773,-43.198,20,6.1,mw,,,,0.3,194,46,-105,36,46,-75,,,,,,,CERESIS-GEM,,outer_rise,,outer_rise
1042,1962/12/29,-70.029,-20.106,40,6.2,mw,,,10.4,0.2,348,25,108,148,66,82,,,,,,,ISC-GEM,,slab_interface,49.4834327698,slab_interface
1045,1963/02/05,-73.443,-38.437,25,6.4,mw,,,6.5,0.3,7,6,117,160,85,87,,,,,,,ISC-GEM,,slab_interface,32.2648239136,slab_interface
1116,1963/12/03,-69.962,-22.691,35,6.3,mw,,,4.8,0.3,203,44,25,94,73,131,,,,,,,ISC-GEM,,forearc,45.4363288879,forearc
1258,1964/07/25,-71.044,-27.802,30,6.5,mw,,,4,0.3,326,16,72,164,75,95,,,,,,,ISC-GEM,,slab_interface,28.2203769684,slab_interface
1270,1964/08/05,-74.871,-41.121,15,6.4,mw,,,25,0.3,300,40,-144,181,68,-56,,,,,,,ISC-GEM,,intra_slab,10.301612854,intra_slab
1281,1964/08/18,-71.539,-26.43,15,6.7,mw,,,3.6,0.3,52,40,89,234,50,91,,,,,,,ISC-GEM,,slab_interface,10.372130394,slab_interface
1412,1965/02/23,-70.679,-25.633,35,6.8,mw,,,4,0.3,16,86,-78,124,13,-161,,,,,,,ISC-GEM,,intra_slab,30.8336353302,intra_slab
1425,1965/03/22,-71.573,-31.974,48.8,6.2,mw,,,5,0.3,330,25,52,190,71,106,,,,,,,ISC-GEM,,slab_interface,35.8692092896,slab_interface
1430,1965/03/28,-71.233,-32.522,70,7.4,mw,,,6.2,0.3,348,10,-95,173,80,-89,,,,,,,ISC-GEM,,intra_slab,48.7607460022,intra_slab
1601,1965/11/13,-68.144,-29.421,60,5.7,mw,,,5.2,0.3,320,37,65,171,57,108,,,,,,,ISC-GEM,,backarc,,unclassified
1607,1965/11/28,-72.958,-45.847,25,6.2,mw,,,25,0.3,22,58,-162,282,75,-33,,,,,,,ISC-GEM,,intraarc_shallow,,intraarc
1715,1966/04/10,-71.049,-31.452,60.5,6.1,mw,,,5.1,0.3,308,22,46,174,75,106,,,,,,,ISC-GEM,,slab_deep,59.3515357971,slab_deep
