lon,lat,vs30
-75.686415178,-46.581588208,380
-75.686415178,-46.631588208,380
-75.686415178,-46.681588208,380
-75.686415178,-46.731588208,380
-75.686415178,-46.781588208,380
-75.686415178,-46.831588208,380
-75.686415178,-48.581588208,380
-75.636415178,-46.581588208,380
-75.636415178,-46.631588208,380
-75.636415178,-46.681588208,380
-75.636415178,-46.731588208,380
-75.636415178,-46.781588208,380
-75.636415178,-46.831588208,380
-75.636415178,-46.881588208,380
-75.636415178,-48.431588208,380
-75.636415178,-48.481588208,380
-75.636415178,-48.531588208,380
-75.636415178,-48.581588208,380
-75.636415178,-48.631588208,380
-75.636415178,-48.681588208,380
-75.636415178,-48.731588208,380
-75.636415178,-48.781588208,380
-75.636415178,-48.881588208,380
-75.636415178,-48.931588208,380
-75.636415178,-48.981588208,380
-75.636415178,-49.181588208,380
-75.636415178,-49.231588208,380
-75.636415178,-49.631588208,380
-75.636415178,-49.731588208,380
-75.636415178,-49.781588208,380
-75.636415178,-49.831588208,380
-75.636415178,-49.881588208,380
-75.586415178,-46.581588208,380
-75.586415178,-46.631588208,380
-75.586415178,-46.681588208,380
-75.586415178,-46.731588208,380
-75.586415178,-46.781588208,380
-75.586415178,-46.831588208,380
-75.586415178,-46.881588208,380
-75.586415178,-46.931588208,380
-75.586415178,-48.081588208,380
-75.586415178,-48.131588208,380
-75.586415178,-48.181588208,380
-75.586415178,-48.431588208,380
-75.586415178,-48.481588208,380
-75.586415178,-48.531588208,380
-75.586415178,-48.581588208,380
-75.586415178,-48.631588208,380
-75.586415178,-48.681588208,380
-75.586415178,-48.731588208,380
-75.586415178,-48.781588208,380
-75.586415178,-48.831588208,380
-75.586415178,-48.881588208,380
-75.586415178,-48.931588208,380
-75.586415178,-48.981588208,380
-75.586415178,-49.131588208,380
-75.586415178,-49.181588208,380
-75.586415178,-49.231588208,380
-75.586415178,-49.581588208,380
-75.586415178,-49.631588208,380
-75.586415178,-49.681588208,380
-75.586415178,-49.731588208,380
-75.586415178,-49.781588208,380
-75.586415178,-49.831588208,380
-75.586415178,-49.881588208,380
-75.536415178,-46.531588208,380
-75.536415178,-46.581588208,380
-75.536415178,-46.631588208,380
-75.536415178,-46.681588208,380
-75.536415178,-46.731588208,380
-75.536415178,-46.781588208,380
-75.536415178,-46.831588208,380
-75.536415178,-46.881588208,380
-75.536415178,-46.931588208,380
-75.536415178,-48.031588208,380
-75.536415178,-48.081588208,380
-75.536415178,-48.131588208,380
-75.536415178,-48.181588208,380
-75.536415178,-48.231588208,380
-75.536415178,-48.281588208,380
-75.536415178,-48.331588208,380
-75.536415178,-48.381588208,380
-75.536415178,-48.431588208,380
-75.536415178,-48.481588208,380
-75.536415178,-48.531588208,380
-75.536415178,-48.581588208,380
-75.536415178,-48.631588208,380
-75.536415178,-48.681588208,380
-75.536415178,-48.731588208,380
-75.536415178,-48.781588208,380
-75.536415178,-48.831588208,380
-75.536415178,-48.881588208,380
-75.536415178,-48.931588208,380
-75.536415178,-48.981588208,380
-75.536415178,-49.031588208,380
-75.536415178,-49.131588208,380
-75.536415178,-49.181588208,380
-75.536415178,-49.231588208,380
-75.536415178,-49.281588208,380
-75.536415178,-49.381588208,380
-75.536415178,-49.431588208,380
-75.536415178,-49.481588208,380
-75.536415178,-49.581588208,380
-75.536415178,-49.631588208,380
-75.536415178,-49.681588208,380
-75.536415178,-49.731588208,380
-75.536415178,-49.781588208,380
-75.536415178,-49.831588208,380
-75.536415178,-50.631588208,380
-75.536415178,-50.681588208,380
-75.486415178,-46.531588208,380
-75.486415178,-46.581588208,380
-75.486415178,-46.631588208,380
-75.486415178,-46.681588208,380
-75.486415178,-46.731588208,380
-75.486415178,-46.781588208,380
-75.486415178,-46.831588208,380
-75.486415178,-46.881588208,380
-75.486415178,-46.931588208,380
-75.486415178,-48.031588208,380
-75.486415178,-48.081588208,380
-75.486415178,-48.131588208,380
-75.486415178,-48.181588208,380
-75.486415178,-48.231588208,380
-75.486415178,-48.281588208,380
-75.486415178,-48.331588208,380
-75.486415178,-48.381588208,380
-75.486415178,-48.431588208,380
-75.486415178,-48.481588208,380
-75.486415178,-48.531588208,380
-75.486415178,-48.581588208,380
-75.486415178,-48.631588208,380
-75.486415178,-48.681588208,380
-75.486415178,-48.731588208,380
-75.486415178,-48.781588208,380
-75.486415178,-48.831588208,380
-75.486415178,-48.881588208,380
-75.486415178,-48.931588208,380
-75.486415178,-48.981588208,380
-75.486415178,-49.031588208,380
-75.486415178,-49.081588208,380
-75.486415178,-49.131588208,380
-75.486415178,-49.181588208,380
-75.486415178,-49.231588208,380
-75.486415178,-49.281588208,380
-75.486415178,-49.331588208,380
-75.486415178,-49.381588208,380
-75.486415178,-49.431588208,380
-75.486415178,-49.481588208,380
-75.486415178,-49.581588208,380
-75.486415178,-49.631588208,380
-75.486415178,-49.681588208,380
-75.486415178,-49.731588208,380
-75.486415178,-49.781588208,380
-75.486415178,-50.481588208,380
-75.486415178,-50.631588208,380
-75.486415178,-50.681588208,380
-75.486415178,-50.781588208,380
-75.436415178,-46.481588208,380
-75.436415178,-46.531588208,380
-75.436415178,-46.581588208,380
-75.436415178,-46.631588208,380
-75.436415178,-46.681588208,380
-75.436415178,-46.731588208,380
-75.436415178,-46.781588208,380
-75.436415178,-46.831588208,380
-75.436415178,-46.881588208,380
-75.436415178,-46.931588208,380
-75.436415178,-48.031588208,380
-75.436415178,-48.081588208,380
-75.436415178,-48.131588208,380
-75.436415178,-48.181588208,380
-75.436415178,-48.231588208,380
-75.436415178,-48.281588208,380
-75.436415178,-48.331588208,380
-75.436415178,-48.381588208,380
-75.436415178,-48.431588208,380
-75.436415178,-48.481588208,380
-75.436415178,-48.531588208,380
-75.436415178,-48.581588208,380
-75.436415178,-48.631588208,380
-75.436415178,-48.681588208,380
-75.436415178,-48.731588208,380
-75.436415178,-48.831588208,380
-75.436415178,-48.881588208,380
-75.436415178,-48.931588208,380
-75.436415178,-48.981588208,380
-75.436415178,-49.031588208,380
-75.436415178,-49.081588208,380
-75.436415178,-49.131588208,380
-75.436415178,-49.181588208,380
-75.436415178,-49.281588208,380
-75.436415178,-49.331588208,380
-75.436415178,-49.381588208,380
-75.436415178,-49.431588208,380
-75.436415178,-49.481588208,380
-75.436415178,-49.531588208,380
-75.436415178,-49.581588208,380
-75.436415178,-49.631588208,380
-75.436415178,-49.681588208,380
-75.436415178,-49.731588208,380
-75.436415178,-49.781588208,380
