longitude,latitude,mag,kernel_r_km
-71.0,-29.0,6.9,81.17471156670315
-70.092,-18.358,6.9,66.99603885900517
-67.0,-18.0,7.1,239.7476284346611
-72.887,-37.911,7.0,62.3449460525868
-73.0,-39.102,7.4,91.67803740157179
-66.0,-18.0,6.9,306.04857243801746
-66.0,-19.5,6.9,260.16036443786146
-67.0,-21.0,6.8,152.35411114794576
-71.5,-36.0,6.2,72.67491896489408
-71.1,-17.2,6.2,52.552503164477486
-65.0,-20.5,6.0,310.59180242313795
-70.9,-17.2,6.2,55.052546131758156
-70.155,-26.406,6.4,88.82520364693994
-65.0,-20.0,6.0,313.462966391886
-65.0,-23.5,6.1,228.01152957606325
-73.367,-41.579,6.3,128.8817519219668
-73.613,-43.642,6.1,169.50460935751062
-72.917,-38.154,7.2,64.97966571136844
-72.813,-39.071,6.9,90.24231123310457
-73.836,-42.904,6.1,144.19832983176195
-69.5,-24.4,6.8,97.64023962209978
-69.4,-18.9,6.6,70.95841273996268
-70.5,-17.1,6.5,56.25187672723908
-69.962,-22.691,6.3,81.1479410349187
-72.695,-38.231,6.3,73.21566461149769
-70.55,-25.494,7.7,62.72200703121441
-72.912,-38.152,7.8,65.37718325875247
-66.589,-22.648,6.6,143.3667374789927
-66.231,-27.75,5.6,251.89181263688016
-74.727,-39.999,6.4,190.51943615177711
-66.301,-21.327,5.9,170.99612838705798
-71.307,-17.853,5.5,63.103719791396415
-69.21,-19.947,5.9,60.974700159753155
-70.599,-25.12,5.4,72.27028982433666
-69.71,-23.51,5.9,88.78418227881151
-69.789,-21.951,5.6,74.32451020444033
-72.463,-36.286,6.1,67.03384765000843
-69.022,-22.301,5.9,96.7645752322834
-72.247,-39.009,5.5,100.34961987761726
-71.362,-17.945,5.4,57.8388363288482
-68.976,-22.882,5.7,91.4101893865742
-69.685,-18.797,5.4,65.28449785218672
-69.898,-20.457,5.5,84.63424701146106
-73.103,-39.664,5.8,103.55663098586496
-71.81,-33.96,6.4,82.27465888272522
-69.562,-20.823,5.4,71.50418006733805
-71.762,-17.812,5.5,75.66628200453452
-70.83,-20.84,5.7,129.96750465139348
-73.45,-41.97,5.6,108.5790801911034
-71.999,-17.053,5.5,103.54801430580943
-70.322,-19.363,5.5,53.03482248963449
-69.591,-18.913,5.7,71.43940150624555
-70.355,-26.116,5.9,78.25996937149043
-71.01,-32.641,5.4,72.02390997711994
-72.08,-33.43,6.3,88.86309913776657
-71.42,-34.18,5.4,87.95315572786375
-70.241,-18.097,5.4,67.32196056184421
-74.3,-41.0,5.3,156.23526682575087
-69.383,-21.444,5.4,69.67766189278522
-73.402,-42.049,5.6,102.94175056260038
-69.7,-23.53,6.0,87.8486857652084
-70.031,-24.055,6.2,74.32721532724648
-71.09,-20.01,5.3,116.166345727991
-72.13,-18.22,5.6,104.94177729519961
-72.546,-40.542,5.6,84.64713256986508
-70.052,-19.185,6.4,52.35874357412323
-70.633,-28.162,6.1,98.80552478389669
-70.56,-24.93,7.2,78.3554194758673
-73.274,-41.467,5.2,119.62798409272673
-70.906,-17.051,5.3,65.72641307592721
-71.57,-32.92,6.1,60.854359044503525
-69.957,-22.209,5.5,89.91605113809209
-71.18,-26.72,6.1,123.86177453052393
-72.808,-37.869,5.2,64.50389124181747
-73.441,-42.186,5.2,106.80468078425919
-70.21,-23.52,5.5,65.92533202435627
-73.303,-36.985,6.3,81.28318267261496
-71.67,-18.33,5.6,75.3338659905065
-72.532,-35.288,5.2,63.420779048809365
-70.408,-23.025,5.2,88.76680876238113
-72.789,-40.116,5.3,99.75881602571974
-69.393,-21.413,5.4,67.90662522295376
-71.594,-35.17,5.4,70.16590327958626
