bin_left,bin_right,count
-6.148507331511244,-6.068102782509683,14
-6.068102782509683,-5.987698233508123,0
-5.987698233508123,-5.907293684506564,0
-5.907293684506564,-5.826889135505003,0
-5.826889135505003,-5.746484586503443,1
-5.746484586503443,-5.6660800375018825,0
-5.6660800375018825,-5.585675488500323,66
-5.585675488500323,-5.505270939498763,66
-5.505270939498763,-5.424866390497202,41
-5.424866390497202,-5.344461841495642,12
-5.344461841495642,-5.264057292494082,8
-5.264057292494082,-5.183652743492522,6
-5.183652743492522,-5.103248194490962,34
-5.103248194490962,-5.022843645489401,22
-5.022843645489401,-4.942439096487841,30
-4.942439096487841,-4.862034547486282,111
-4.862034547486282,-4.781629998484721,111
-4.781629998484721,-4.701225449483161,131
-4.701225449483161,-4.6208209004816005,108
-4.6208209004816005,-4.54041635148004,27
-4.54041635148004,-4.46001180247848,113
-4.46001180247848,-4.37960725347692,126
-4.37960725347692,-4.29920270447536,110
-4.29920270447536,-4.2187981554738,104
-4.2187981554738,-4.13839360647224,90
-4.13839360647224,-4.05798905747068,99
-4.05798905747068,-3.9775845084691195,93
-3.9775845084691195,-3.897179959467559,98
-3.897179959467559,-3.816775410465999,93
-3.816775410465999,-3.736370861464439,114
-3.736370861464439,-3.655966312462879,131
-3.655966312462879,-3.5755617634613186,151
-3.5755617634613186,-3.4951572144597582,194
-3.4951572144597582,-3.4147526654581983,344
-3.4147526654581983,-3.334348116456638,503
-3.334348116456638,-3.253943567455078,831
-3.253943567455078,-3.1735390184535177,1107
-3.1735390184535177,-3.093134469451958,1324
-3.093134469451958,-3.0127299204503974,1393
-3.0127299204503974,-2.9323253714488375,1581
-2.9323253714488375,-2.851920822447277,1642
-2.851920822447277,-2.771516273445717,2093
-2.771516273445717,-2.691111724444157,1546
-2.691111724444157,-2.6107071754425966,782
-2.6107071754425966,-2.5303026264410367,610
-2.5303026264410367,-2.4498980774394763,287
-2.4498980774394763,-2.3694935284379164,257
-2.3694935284379164,-2.289088979436356,99
-2.289088979436356,-2.2086844304347957,31
-2.2086844304347957,-2.1282798814332358,24
