longitude,latitude,mag,kernel_r_km
-70.0,-20.0,6.8,47.52696807827574
-70.0,-27.0,6.8,64.75513691110335
-70.75,-34.17,6.8,51.48333278490672
-68.5,-18.5,7.5,74.04331248607689
-69.642,-22.762,6.8,50.12608250670444
-68.77,-19.87,7.2,36.146392777518315
-68.051,-22.556,6.8,43.252062148340684
-69.396,-32.526,7.2,54.86602267368403
-69.0,-23.0,7.5,29.704867824961383
-66.428,-23.647,7.0,43.98272858767726
-68.6,-22.0,6.9,32.354435044192144
-72.5,-40.0,7.0,88.67762388527684
-72.213,-36.296,8.0,53.94900628097967
-70.4,-17.8,6.8,44.41269379509848
-66.588,-23.121,7.2,36.213759832896
-70.238,-33.037,6.8,35.280183975917396
-68.967,-19.671,7.2,30.24207676921667
-68.856,-20.733,6.9,33.76987453361179
-70.418,-33.757,7.0,37.238887559140124
-72.713,-37.634,7.0,90.21079356180036
-68.408,-20.581,7.0,46.63667784282095
-68.7,-22.1,6.2,34.3434417766217
-67.912,-23.977,8.0,30.828370953024958
-71.0,-29.5,6.2,39.181115033515184
-66.4,-23.3,6.8,44.42713813586404
-69.86,-21.462,6.1,47.7270661725451
-71.5,-17.0,6.2,80.05737491364961
-70.5,-18.8,6.5,58.46008048911689
-68.0,-21.75,6.1,44.874645823391035
-65.814,-22.216,7.2,50.029998101898826
-71.0,-17.4,6.0,47.50892852957054
-66.515,-19.61,6.4,72.06712564059762
-68.692,-22.429,7.4,31.102767580652035
-67.5,-23.0,6.2,50.056093673573336
-68.229,-23.194,6.6,35.508598287037174
-72.955,-41.233,6.3,135.13082543685388
-66.184,-22.869,6.6,38.523721290538354
-65.186,-30.737,6.9,167.06881480273873
-70.34,-37.612,6.5,118.496503956014
-70.22,-34.664,6.8,60.69401319775752
-69.0,-19.0,6.2,34.17553407418765
-69.0,-20.0,6.8,36.74560984445568
-70.036,-25.552,6.8,54.18135796324974
-67.15,-28.12,6.1,35.95329923590117
-66.713,-20.948,7.7,47.28977430286902
-68.415,-21.269,6.0,26.823444814187898
-66.894,-24.248,6.4,28.15796700796668
-65.32,-30.82,6.1,151.3697572886195
-69.574,-21.214,6.0,46.85017696307587
-71.094,-30.728,6.4,39.078886610858355
-68.862,-20.407,7.1,30.69478942312294
-68.832,-25.464,6.6,59.2727706739091
-69.397,-17.69,6.2,30.541020143597674
-65.0,-18.5,6.0,212.897949725433
-73.0,-39.5,6.9,98.39873690062505
-65.614,-21.098,6.2,96.3831380301675
-73.5,-43.5,6.0,279.86020261793243
-68.5,-28.5,6.1,53.0813895143505
-68.704,-22.989,6.8,33.57531141066378
-69.694,-21.404,6.1,49.530973287270534
-68.0,-22.1,6.1,44.951009537001674
-68.4,-21.3,6.3,26.8062245238874
-70.531,-37.066,6.2,91.00669711632239
-67.914,-23.167,6.8,47.11933433466435
-70.1,-34.9,6.3,67.82385278869857
-69.1,-23.7,6.9,34.346345008238394
-69.4,-17.7,6.4,29.981150737418186
-69.1,-31.7,6.0,32.25662973322501
-68.82,-18.954,6.7,48.10868204922901
-71.049,-31.452,6.1,48.75288937087658
-68.301,-31.973,6.1,46.700774018789744
-68.821,-20.304,6.1,34.04399754902697
-68.311,-21.362,6.7,28.580709275214883
-69.397,-29.701,6.0,43.94597783738868
-68.413,-24.418,6.6,50.81435905154892
-71.146,-30.838,6.5,36.41267707074725
-66.75,-23.47,6.9,42.038157164053416
-71.793,-42.229,6.0,214.11455920474307
-68.778,-28.393,6.0,42.431504686258336
-68.938,-25.375,6.8,53.6447642045487
-71.076,-32.601,7.5,50.39496609605028
-66.195,-22.655,6.5,33.97635431619256
-68.198,-22.497,7.0,41.05868633179307
-69.271,-19.795,6.1,33.40099992722979
-66.57,-27.96,6.2,21.34142057592486
-66.85,-22.95,6.5,37.76786195358696
-69.162,-19.236,6.1,35.28297507199705
-69.436,-18.079,5.6,32.63553221075632
-68.244,-21.774,5.8,32.09433307329106
-67.286,-27.52,5.4,46.85876590916228
-67.6,-31.763,5.7,45.597321578337386
-68.893,-25.929,5.7,65.97700033957273
-70.399,-28.628,5.5,37.903269841629374
-71.489,-36.132,5.4,42.112210994413005
-68.692,-23.156,5.6,32.17723974443204
-68.506,-31.56,5.4,36.0760011705069
-69.122,-23.932,5.3,37.00357726941532
-69.839,-20.366,5.7,53.904183229264305
-67.22,-18.927,5.3,44.904163028075104
-67.1,-28.886,5.5,58.00541053670134
-68.201,-23.274,5.3,35.36880113123003
-66.766,-24.12,6.0,26.92144061176973
-67.295,-24.325,5.3,33.406028476712144
-69.201,-17.288,5.4,47.6681321558859
-67.908,-24.0,5.7,31.57152353233377
-65.977,-22.386,5.5,41.7998469575952
-67.166,-21.504,5.5,34.97309981390079
-68.663,-29.626,5.6,63.034889544998165
-68.51,-20.54,7.2,39.67946201523482
-68.664,-22.577,5.4,33.50672341651254
-68.592,-21.295,5.8,28.276692961109095
-68.61,-24.89,6.9,53.91093161551763
-70.182,-30.1,5.3,78.64087117429146
-67.153,-28.01,5.5,38.21622976754932
-69.27,-23.01,5.4,34.76519439428918
-69.804,-18.868,5.3,43.258045106126545
-67.745,-29.827,5.6,89.81129364435863
-67.12,-22.21,5.6,40.00258982588768
-69.56,-19.64,5.7,41.98456480360484
-69.553,-29.1,5.3,41.51242849021941
-67.383,-24.612,5.3,47.3368175143204
-68.138,-22.003,5.5,41.14839611696536
-69.173,-31.892,5.8,36.75750017191758
-68.51,-23.57,5.6,40.225695132588584
-67.158,-32.022,5.5,53.97171191988955
-70.028,-33.189,5.3,38.07012708190184
-69.633,-25.721,5.3,52.20026092743257
-69.959,-31.445,5.3,45.521669283734504
-68.594,-22.589,5.6,34.562274152501566
-67.493,-20.948,5.5,35.252607607872115
-69.536,-18.168,5.7,35.2616705155435
-67.386,-28.573,5.8,34.2981343500534
-71.61,-37.96,5.5,98.3735895149938
-71.816,-17.095,5.5,87.72948062529551
-70.19,-34.278,6.1,52.922936112766564
-66.704,-27.815,5.7,26.233130962549236
-70.297,-27.895,5.3,51.76682196890562
-69.491,-17.716,5.7,28.63719753068547
