bin_left,bin_right,count
-4.914664966582523,-4.848864508340538,42
-4.848864508340538,-4.783064050098554,30
-4.783064050098554,-4.71726359185657,54
-4.71726359185657,-4.651463133614585,101
-4.651463133614585,-4.585662675372601,125
-4.585662675372601,-4.519862217130616,107
-4.519862217130616,-4.454061758888632,119
-4.454061758888632,-4.388261300646648,119
-4.388261300646648,-4.322460842404664,117
-4.322460842404664,-4.256660384162679,113
-4.256660384162679,-4.1908599259206945,127
-4.1908599259206945,-4.12505946767871,116
-4.12505946767871,-4.059259009436726,130
-4.059259009436726,-3.993458551194742,128
-3.993458551194742,-3.927658092952757,124
-3.927658092952757,-3.861857634710773,137
-3.861857634710773,-3.7960571764687883,137
-3.7960571764687883,-3.730256718226804,106
-3.730256718226804,-3.66445625998482,110
-3.66445625998482,-3.5986558017428356,166
-3.5986558017428356,-3.5328553435008514,167
-3.5328553435008514,-3.4670548852588667,172
-3.4670548852588667,-3.4012544270168825,172
-3.4012544270168825,-3.335453968774898,210
-3.335453968774898,-3.2696535105329136,204
-3.2696535105329136,-3.2038530522909294,213
-3.2038530522909294,-3.138052594048945,214
-3.138052594048945,-3.0722521358069605,218
-3.0722521358069605,-3.0064516775649763,218
-3.0064516775649763,-2.9406512193229917,216
-2.9406512193229917,-2.8748507610810075,235
-2.8748507610810075,-2.8090503028390232,253
-2.8090503028390232,-2.743249844597039,370
-2.743249844597039,-2.6774493863550544,474
-2.6774493863550544,-2.61164892811307,695
-2.61164892811307,-2.545848469871086,839
-2.545848469871086,-2.4800480116291013,719
-2.4800480116291013,-2.414247553387117,609
-2.414247553387117,-2.348447095145133,670
-2.348447095145133,-2.2826466369031486,951
-2.2826466369031486,-2.216846178661164,1120
-2.216846178661164,-2.1510457204191797,1038
-2.1510457204191797,-2.0852452621771955,918
-2.0852452621771955,-2.019444803935211,696
-2.019444803935211,-1.9536443456932266,623
-1.9536443456932266,-1.8878438874512424,577
-1.8878438874512424,-1.8220434292092578,419
-1.8220434292092578,-1.7562429709672736,270
-1.7562429709672736,-1.6904425127252893,152
-1.6904425127252893,-1.6246420544833045,46
